name	Cnname	compactsave	version	level	ShowLevel	spawnable	PermStoreItem	multibuy	useable	type	type2	auto prefix	levelreq	reqstr	reqdex	rarity	speed	nodurability	cost	gamble cost	code	alternategfx	namestr	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	Transmogrify	TMogType	TMogMin	TMogMax	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	lightradius	belt	autobelt	stackable	minstack	maxstack	spawnstack	quest	questdiffcheck	missiletype	spellicon	pSpell	state	cstate1	cstate2	len	stat1	calc1	stat2	calc2	stat3	calc3	spelldesc	spelldescstr	spelldescstr2	spelldesccalc	spelldesccolor	durwarning	qntwarning	gemoffset	BetterGem	bitfield1	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	Nameable	diablocloneweight
Minor Mana Potion	弱效法力藥水	1	0	1	0	1	1	1	1	mpot			0			1	0	1	60		mp1	mp1	mp1	16	1	1	0	0	0	flpbps	invmp1		0	xxx			item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	3	manapot			128	manarecovery	20					2	ItemStats1q		20		0	0	0	non	0					255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255	1	1			255	1	1	1	1	255					255					255	1	1	1	1	255	1	1			255					255					255					255					255	1	1			255					255					255	0	0	0	xxx	xxx				
Light Mana Potion	輕效法力藥水	1	0	1	0	1	1	1	1	mpot			0			1	0	1	150		mp2	mp2	mp2	16	1	1	0	0	0	flpbps	invmp2		0	xxx			item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	3	manapot			128	manarecovery	40					2	ItemStats1q		40		0	0	0	non	0					255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255	1	1			255	1	1	1	1	255					255					255	1	1	1	1	255	1	1			255					255					255					255					255	1	1			255					255					255	0	0	0	xxx	xxx				
Mana Potion	法力藥水	1	0	1	0	1	1	1	1	mpot			0			1	0	1	300		mp3	mp3	mp3	16	1	1	0	0	0	flpbps	invmp3		0	xxx			item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	3	manapot			128	manarecovery	80					2	ItemStats1q		80		0	0	0	non	0					255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255					255	1	1	1	1	255					255					255	1	1	1	1	255	1	1			255					255					255					255					255	1	1			255					255					255	0	0	0	xxx	xxx				
Greater Mana Potion	強效法力藥水	1	0	1	0	1	1	1	1	mpot			0			1	0	1	500		mp4	mp4	mp4	16	1	1	0	0	0	flpbpl	invmp4		0	xxx			item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	3	manapot			128	manarecovery	150					2	ItemStats1q		150		0	0	0	non	0					255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255					255					255	1	1	1	1	255	1	1	1	1	255					255					255					255	1	1	1	1	255	1	1			255	1	1	1	1	255	1	1	1	1	255	0	0	0	xxx	xxx				
Super Mana Potion	特效法力藥水	1	0	1	0	1	1	1	1	mpot			0			1	0	1	1000		mp5	mp5	mp5	16	1	1	0	0	0	flpbpl	invmp5		0	xxx			item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	3	manapot			128	manarecovery	250					2	ItemStats1q		250		0	0	0	non	0					255					255	1	1	1	1	255	1	1	1	1	255					255					255					255					255	1	1	1	1	255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Rejuvenation Potion	活力藥水	1	0	0	0				1	rpot			0			2	0	1	400		rvs	yps	rvs	16	1	1	0	0	0	flpvps	invvps		0	xxx			item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	5					hitpoints	35	mana	35			4	ItemStatsrejuv1		35		0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Full Rejuvenation Potion	全效活力藥水	1	0	0	0				1	rpot			0			2	0	1	10		rvl	ypl	rvl	16	1	1	0	0	0	flpvpl	invvpl		0	xxx			item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	5					hitpoints	100	mana	100			4	ItemStatsrejuv1		100		0	0	0	non	0	1	1			255	1	1			255	1	1			255	1	1			255	1	1			255	1	1			255	1	1			255	1	1			255	1	1			255	1	1			255	1	1			255	1	1			255	1	1			255	1	1			255	1	1			255	1	1			255	1	1			255	0	0	0	xxx	xxx				
Scroll of Town Portal	城鎮傳送卷軸	1	0	0	0	1	1	1	1	scro			0			2	0	1	100		tsc	bsc	tsc	16	1	1	0	0	0	flpbsc	invbsc		0	xxx			item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	-1	2																0	0	0	non	0	1	1			255	1	1			255	11	17			255	1	1			255	1	1			255	11	17	11	17	255	1	1			255	1	1			255	1	1			255	11	17	11	17	255	1	1			255	1	1			255	1	1			255	5	7			255	5	7			255	1	1			255	1	1			255	0	0	0	xxx	xxx				
Scroll of Identify	鑑定卷軸	1	0	0	0	1	1	1	1	scro			0			2	0	1	80		isc	rsc	isc	16	1	1	0	0	0	flprsc	invrsc		0	xxx			item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	1																0	0	0	non	0	1	1			255	1	1			255	11	17			255	1	1			255	1	1			255	11	17	11	17	255	1	1			255	1	1			255	1	1			255	11	17	11	17	255	1	1			255	1	1			255	1	1			255	5	7			255	5	7			255	1	1			255	1	1			255	0	0	0	xxx	xxx				
Tome of Town Portal	城鎮傳送之書	0	0	0	0	1	1		1	book			0			2	0	1	250		tbk	bbk	tbk	16	1	2	0	0	0	flpbbk	invbbk		0	xxx			item_book	12	item_book	0	0	5	0	0	0	1	1	40	5			0	-1	2																0	0	0	non	0	1	1			255	1	1			255		2			255					255					255	2	4	2	4	255					255					255					255	2	4	2	4	255					255					255					255	1	2			255	1	2			255					255					255	0	0	0	xxx	xxx				
Tome of Identify	鑑定之書	0	0	0	0	1	1		1	book			0			2	0	1	200		ibk	rbk	ibk	16	1	2	0	0	0	flprbk	invrbk		0	xxx			item_book	12	item_book	0	0	5	0	0	0	1	1	40	5			0	0	1																0	0	0	non	0					255					255		2			255					255					255	2	4	2	4	255					255					255					255	2	4	2	4	255					255					255					255	1	2			255	1	2			255					255					255	0	0	0	xxx	xxx				
Arrows	弓矢	0	0	0	0	1	1		0	bowq		307	0			1	0	1	256		aqv	aqv	aqv	16	1	3	0	0	0	flpqvr	invqvr		0	xxx			item_quiver	12	item_quiver	0	0	5	0	0	0	1	150	385	250			0	-1	-1																0	1	0	non	0	1	3			255	3	5			255					255	3	4	3	4	255					255					255	2	3			255	3	4	3	4	255					255					255	2	3			255					255	3	4			255					255					255	3	4			255	3	4			255	0	0	0	xxx	xxx				
Bolts	弩箭	0	0	0	0	1	1		0	xboq		307	0			1	0	1	256		cqv	cqv	cqv	16	1	3	0	0	0	flpqvr	invcqv		0	xxx			item_quiver	12	item_quiver	0	0	5	0	0	0	1	150	500	250			0	-1	-1																0	1	0	non	0	2	4			255	2	4			255					255	3	4	3	4	255					255					255	2	3			255	3	4	3	4	255					255					255	2	3			255					255	3	4			255					255					255	3	4			255	3	4			255	0	0	0	xxx	xxx				
Key	鑰匙	0	0	0	0	1	1	1	0	key			0			1	0	1	45		key	key	key	16	1	1	0	0	0	flpkey	invkey		0	xxx			item_key	12	item_key	0	0	5	0	0	0	1	1	40	6			0	-1	-1																0	0	0	non	0	5	9	5	9	255	1	1			255	1	2	1	2	255	1	1			255	6	9	6	9	255	1	1			255	1	1			255	2	3	2	3	255	1	1			255	1	1			255	1	1			255	1	1			255	1	1			255	1	2	1	2	255	1	1			255	1	1			255	1	1			255	0	0	0	xxx	xxx				
Gold	黃金	1	0	0	0				0	gold			0			1	0	1	0		gld	gld	gld	16	1	1	0	0	0	flpgld	invgld		0	xxx			item_gold	12	item_gold	0	0	5	0	0	0	1	0	5000	0			0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Ear	耳朵	1	0	0	0				0	play			0			1	0	1	0		ear	ear	ear	16	1	1	0	0	0	flpear	invear		0	xxx			item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0			0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Horadric Cube	赫拉迪姆方塊	0	0	0	0				1	ques			0			1	0	1	10		box	rbk	box	16	2	2	0	0	0	flpbox	invbox		0	xxx			item_rare	12	item_rare	0	0	5	0	0	0	0	0	0	0			0	-1	7											1	OpenHoradricCube	OpenHoradricCubeController		4	0	0	0	non	0	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255					255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255	0	0	0	xxx	xxx				
Horadric Scroll	赫拉迪姆卷軸	1	0	0	0				0	ques			0			999	0	1	0		tr1	grg	tr1	16	2	2	0	0	0	flphscr	invhscr		0	xxx			item_book	12	item_book	1	0	5	0	0	0	0	0	0	0	10	1	0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Scroll of Inifuss	艾尼弗斯卷軸	1	0	0	0				1	ques			0			0	0	1	100		bks	bks	bks	16	2	2	0	0	0	flpscr	invscb		0	xxx			item_scroll	10	item_scroll	1	0	5	0	0	0	0	0	0	0	5	1	0	-1	0																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Key to the Cairn Stones	石陣之鑰	1	0	0	0				1	ques			0			0	0	1	12000		bkd	bkd	bkd	16	2	2	0	0	0	flpscr	invscb		0	xxx			item_scroll	10	item_scroll	1	0	5	0	0	0	0	0	0	0	5	1	0	-1	14											1	ReadScroll	ReadScrollController		4	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Amulet of the Viper	蝮蛇護符	0	0	15	0				0	amul			0			4	0	1	400		vip	vip	vip	16	1	1	1	1	2	flpamu	invvip	invvip	0	xxx			item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0	10	1	0	-1	-1																0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	1	xxx	xxx				
Book of Skill	技能之書	1	0	0	0				1	ques			0			999	0	1	0		ass	tbk	ass	16	2	2	0	0	0	flpbbk	invsbk		0	xxx			item_book	12	item_book	1	0	5	0	0	0	0	0	0	0	15	1	0	-1	10											1	UseBookOfSkill	UseBookOfSkillController		4	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
A Jade Figurine	翠玉塑像	1	0	0	0				0	ques			0			0	0	1	100		j34	bks	j34	16	1	2	0	0	0	flpjbi	invjbi		0	xxx			item_rare	12		1	0	3	0	0	0	0	0	0	0	19	1	0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
The Golden Bird	黃金鳥	1	0	0	0				0	ques			0			0	0	1	100		g34	bks	g34	16	1	2	0	0	0	flpgbi	invgbi		0	xxx			item_rare	12		1	0	4	0	0	0	0	0	0	0	19	1	0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Lam Esen's Tome	藍伊森之書	1	0	0	0				0	ques			0			0	0	1	100		bbb	bbb	bbb	16	2	2	0	0	0	flpbbb	invbbb		0	xxx			item_book	12	item_book	1	0	5	0	0	0	0	0	0	0	16	1	0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Khalim's Eye	克林姆的眼球	1	0	0	0				0	ques			0			1	0	1	45		qey	eyz	qey	16	1	1	0	0	0	flpeye	inveye		0	xxx			item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0	17	1	0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Khalim's Heart	克林姆的心臟	1	0	0	0				0	ques			0			1	0	1	60		qhr	hrt	qhr	16	1	1	0	0	0	flphrt	invhrt		0	xxx			item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0	17	1	0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Khalim's Brain	克林姆的大腦	1	0	0	0				0	ques			0			1	0	1	60		qbr	brz	qbr	16	1	1	0	0	0	flpbrnz	invbrnz		0	xxx			item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0	17	1	0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Mephisto's Soulstone	墨菲斯托的靈魂石	1	0	0	0				0	ques			0			999	0	1	0		mss	scr	mss	16	1	1	0	0	0	flpmss	invmss		0	xxx			item_gem	12	item_gem	1	0	5	0	0	0	0	0	0	0	25	1	0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Chipped Amethyst	碎裂紫寶石	1	0	0	0	1	1		0	gema	gem0		1			2	0	1	500		gcv	gcv	gcv	16	1	1	0	0	0	flpgsv	invgsva		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	ChippedAmethystGemInfo				0	0	0	gfv	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Flawed Amethyst	瑕疵紫寶石	1	0	0	0	1	1		0	gema	gem1		5			3	0	1	1500		gfv	gfv	gfv	16	1	1	0	0	0	flpgsv	invgsvb		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	FlawedAmethystGemInfo				0	0	0	gsv	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Amethyst	紫寶石	1	0	0	0	1	1		0	gema	gem2		12			4	0	1	5000		gsv	gsv	gsv	16	1	1	0	0	0	flpgsv	invgsvc		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	AmethystGemInfo				0	0	0	gzv	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Flawless Amethyst	無瑕紫寶石	1	0	0	0	1			0	gema	gem3		15			5	0	1	15000		gzv	gzv	gzv	16	1	1	0	0	0	flpgsv	invgsvd		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	FlawlessAmethystGemInfo				0	0	0	gpv	0					255					255			0	0	255					255					255			0	0	255					255					255			0	0	255			0	0	255					255					255					255			0	0	255			0	0	255					255					255	0	0	0	xxx	xxx				
Perfect Amethyst	完美紫寶石	1	0	0	0	1			0	gema	gem4		18			6	0	1	30000		gpv	gpv	gpv	16	1	1	0	0	0	flpgsv	invgsve		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	PerfectAmethystGemInfo				0	0	0	non	0					255					255			0	0	255					255					255			0	0	255					255					255			0	0	255			0	0	255					255					255					255			0	0	255			0	0	255					255					255	0	0	0	xxx	xxx				
Chipped Topaz	碎裂黃寶石	1	0	0	0	1	1		0	gemt	gem0		1			3	0	1	500		gcy	gcy	gcy	16	1	1	0	0	0	flpgsy	invgsya		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	ChippedTopazGemInfo				0	0	0	gfy	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Flawed Topaz	瑕疵黃寶石	1	0	0	0	1	1		0	gemt	gem1		5			4	0	1	1500		gfy	gfy	gfy	16	1	1	0	0	0	flpgsy	invgsyb		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	FlawedTopazGemInfo				0	0	0	gsy	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Topaz	黃寶石	1	0	0	0	1	1		0	gemt	gem2		12			5	0	1	5000		gsy	gsy	gsy	16	1	1	0	0	0	flpgsy	invgsyc		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	TopazGemInfo				0	0	0	gly	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Flawless Topaz	無瑕黃寶石	1	0	0	0	1			0	gemt	gem3		15			6	0	1	15000		gly	gly	gly	16	1	1	0	0	0	flpgsy	invgsyd		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	FlawlessTopazGemInfo				0	0	0	gpy	0					255					255			0	0	255					255					255			0	0	255					255					255			0	0	255			0	0	255					255					255					255			0	0	255			0	0	255					255					255	0	0	0	xxx	xxx				
Perfect Topaz	完美黃寶石	1	0	0	0	1			0	gemt	gem4		18			7	0	1	30000		gpy	gpy	gpy	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	PerfectTopazGemInfo				0	0	0	non	0					255					255			0	0	255					255					255			0	0	255					255					255			0	0	255			0	0	255					255					255					255			0	0	255			0	0	255					255					255	0	0	0	xxx	xxx				
Chipped Sapphire	碎裂藍寶石	1	0	0	0	1	1		0	gems	gem0		1			4	0	1	500		gcb	gcb	gcb	16	1	1	0	0	0	flpgsb	invgsba		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	ChippedSapphireGemInfo				0	0	0	gfb	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Flawed Sapphire	瑕疵藍寶石	1	0	0	0	1	1		0	gems	gem1		5			5	0	1	1500		gfb	gfb	gfb	16	1	1	0	0	0	flpgsb	invgsbb		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	FlawedSapphireGemInfo				0	0	0	gsb	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
