index	name	version	PCode2a	PParam2a	PMin2a	PMax2a	PCode2b	PParam2b	PMin2b	PMax2b	PCode3a	PParam3a	PMin3a	PMax3a	PCode3b	PParam3b	PMin3b	PMax3b	PCode4a	PParam4a	PMin4a	PMax4a	PCode4b	PParam4b	PMin4b	PMax4b	PCode5a	PParam5a	PMin5a	PMax5a	PCode5b	PParam5b	PMin5b	PMax5b	FCode1	FParam1	FMin1	FMax1	FCode2	FParam2	FMin2	FMax2	FCode3	FParam3	FMin3	FMax3	FCode4	FParam4	FMin4	FMax4	FCode5	FParam5	FMin5	FMax5	FCode6	FParam6	FMin6	FMax6	FCode7	FParam7	FMin7	FMax7	FCode8	FParam8	FMin8	FMax8	*eol
Bul-Kathos' Children	Bul-Kathos' Children	100																																	dmg-fire		200	200	allskills		2	2	att		200	200	ac		200	200	dmg-undead		200	200	dmg-demon		200	200	lifesteal		10	10	deadly		20	20	0
Cow King's Leathers	Cow King's Leathers	100	res-pois		25	25	ac		100	100																									stam		100	100	str		20	20	gold%		100	100	mag%		100	100	gethit-skill	42	25	5	swing3		30	30	hp		100	100	allskills		1	1	0
Naj's Ancient Set	Naj's Ancient Set	100	ac		175	175	mag%/lvl	12																											allskills		1	1	regen		20	20	dex		15	15	res-all		50	50	str		20	20	mana		100	100	fireskill		2	2	hp%		12	12	0
McAuley's Folly	McAuley's Folly	100	ac		50	50					att		75	75																					allskills		1	1	mag%		50	50	mana		50	50	lifesteal		4	4																	0
Warlord's Glory	Warlord's Glory	100	lifesteal		15	15	aura	Meditation	10	10	ac		150	150																					allskills		1	1	red-dmg		9	9	res-fire		15	15	mana		20	20	state	fullsetgeneric	1	1													0
Midnight Calling	Midnight Calling	100	dex		10	10					str		10	10																					ass		1	1	mag%		50	50	swing1		15	15	res-all		20	20																	0
Nature's Grove	Nature's Grove	100	vit		10	10					enr		10	10																					dru		1	1	mag%		50	50	skilltab	17	1	1	res-all		30	30																	0
Grimlock's Grave	Grimlock's Grave	100	enr		10	10					dex		10	10																					nec		1	1	mag%		50	50	pierce-pois		10	10	res-all		25	25																	0
Corgina's Element	Corgina's Element	100	mana		60	60					cast2		20	20																					sor		1	1	mag%		50	50	extra-fire		10	10	extra-cold		10	10	extra-ltng		10	10													0
Sheena's Grace	Sheena's Grace	100	swing1		15	15					hp		30	30																					ama		1	1	mag%		50	50	dmg-max		20	20	res-all		35	35																	0
Talonrage's Fury	Talonrage's Fury	100	regen		5	5					dmg%		35	35																					bar		1	1	mag%		50	50	balance2		30	30	res-all		25	25																	0
Greyhawk's Mantle	Greyhawk's Mantle	100	heal-kill		8	8					mana-kill		4	4																					pal		1	1	mag%		50	50	res-pois-len		60	60	res-all		30	30																	0
Silent Runnings	Silent Runnings	100	move2		20	20					balance2		20	20					block2		20	20													allskills		1	1	res-all		30	30	mag%		75	75	addxp		15	15	gold%		150	150													0
Snowmane's Jewelry	Snowmane's Jewelry	100	mag%		30	30					res-all		15	15																					allskills		1	1	manasteal		5	5	lifesteal		5	5	move2		20	20																	0
Four Seasons	Four Seasons	100	all-stats		10	10					res-all		25	25																					allskills		1	1	res-all		30	30	gethit-skill	Charged Bolt	15	6	gethit-skill	Frost Nova	15	6	gethit-skill	Meteor	10	1													0
Forgotten Treasures	Forgotten Treasures	100	str		15	15					dex		15	15					enr		15	15					vit		15	15					allskills		2	2	res-all		40	40	mag%		100	100	addxp		20	20	gold%		200	200													0
Insight of Brother Laz	Insight of Brother Laz	100	mag%		50	50					str		20	20					dex		20	20													pal		2	2	res-all		60	60	mag%		50	50	hp		100	100	mana		50	50	half-freeze												0
Terror of the Deep	Terror of the Deep	100	half-freeze		1	1					deadly		25	25																					allskills		2	2	crush		66	66	dmg%		150	150	dmg-norm		25	50	hit-skill	Shock Wave	15	18													0
Hannibal's Demise	Hannibal's Demise	100	allskills		1	1					allskills		1	1																					mag%		150	150	hp		100	100	mana		50	50																					0
Haunted Asylum	Haunted Asylum	100	allskills		1	1					allskills		1	1					dmg-ltng		1	300													addxp		100	125	mag%/lvl	20			gold%/lvl	40																							0
Alyssa's Archery	Alyssa's Archery	100									allskills		1	1																					mag%		300	300	dmg-norm		25	50	allskills		2	2	pierce		30	30																	0
Forbidden Lore	Forbidden Lore	100	enr		15	15					vit		15	15																					allskills		3	3	hit-skill	Corpse Explosion	20	3	att%		25	25	cast3		30	30																	0
Dragon Reborn	Dragon Reborn	100	allskills		1	1					mag%		35	35					mag%		65	65					allskills		1	1					gold%/lvl	25			res-all		40	40	oskill	sacrifice	7	7	swing3		30	30	dmg-max		40	40													0
Soldier's Cairn	Soldier's Cairn	100	openwounds		65	65																													allskills		2	2	res-all		20	20	dmg-max		150	150																					0
Gweibret's Rule	Gweibret's Rule	100	dmg%		20	20					dmg%		30	30					dmg%		50	50													allskills		1	1	mag%/lvl	12			hit-skill	Nova	10	10	noheal		1	1	dmg-pois	150	800	800	res-all		35	35									0
Aragorn's Scorn	Aragorn's Scorn	100									allskills		1	1																					dmg%		100	100	mag%		50	50	gethit-skill	Static Field	25	2	oskill	howl	1	1	slow		15	15													0
Bogrot's Magic	Bogrot's Magic	100	dex		20	20																													gold%		200	200	mag%		100	100	addxp		15	15	hp		75	75	ac		350	350	block		15	15									0
Cedric's Jinx	Cedric's Jinx	100																																	allskills		2	2	rip		1	1	gethit-skill	battle orders	25	9	gethit-skill	Bone Armor	25	12	dmg-cold	100	200	250													0
Celestial Hierarchy	Celestial Hierarchy	100	mag%		20	20					mag%		25	25					mag%		45	45					allskills		2	2					res-all		40	40	regen		20	20	rip		1	1																					0
Lords of Hell	Lords of Hell	100	allskills		2	2																													pierce		75	75	gethit-skill	Charged Bolt	13	31	slow		20	20	res-all		40	40	noheal		1	1	openwounds		55	55									0
Corruption Coils	Corruption Coils	100	regen		-50	-50																													res-all		-50	-50	addxp		-40	-40	extra-pois		40	40	mag%		100	100	allskills		5	5													0
Maadi's Paradox	Maadi's Paradox	100	res-all		50	50					skill	Bone Spear	5	5					hp		200	200													allskills		5	5	nofreeze		1	1	oskill	Energy Shield	10	10	res-mag		15	15																	0
The Raven's Nest	The Raven's Nest	100	skill	Raven	5	5	ravensetwolf		1	1	res-all		40	40					ravensetwolf		1	1													ravendmg		1	1	oskill	amplify damage	1	1	red-dmg%		20	20	abs-mag%		10	10	cast2		30	30													0
Tools of Vindication	Tools of Vindication	100	skill	Vengeance	3	3																													res-all		30	30																													0
Panda's Polar Adventure	Panda's Polar Adventure	100	pierce-cold		10	10	extra-cold		10	10	oskill	Polar Bear	10	10	oskill	Polar Claws	10	10	pierce-cold		10	10	extra-cold		10	10									extra-cold		20	20	oskill	Polar Bear	10	10	pierce-cold		20	20	oskill	Polar Claws	10	10	res-all		25	25													0
