Superunique	Name	NameX	Class	BackupClass	Res	hcIdx	MonSound	Mod1	Mod2	Mod3	MinGrp	MaxGrp	AutoPos	Stacks	Replaceable	Utrans	Utrans(N)	Utrans(H)	TC	TC Desecrated	TC(N)	TC(N) Desecrated	TC(H)	TC(H) Desecrated	*eol
Radament	RadamentName	Radament	radament	radament	?c0(?c450/?c360/?c280?c0/B17%)	10		6	0	0	3	3	1	0		30	30	30	Radament	Radament Desecrated A	Radament (N)	Radament (N) Desecrated A	Radament (H)	Radament (H) Desecrated A	0
Bloodwitch the Wild	Bloodwitch the WildName	Bloodwitch the Wild	pantherwoman1	pantherwoman1	?c0(?c415/?c3100?c0/B15%)	11		5	7	0	5	5	1	0		29	29	29	Act 2 Super A		Act 2 (N) Super A		Act 2 (H) Super A	Act 2 (H) Super A Desecrated	0
Fangskin	FangskinName	Fangskin	clawviper3	clawviper3	?c0(?c440/?c133/?c3110?c0/B18%)	12		17	6	0	4	4	1	0		14	14	14	Act 2 Super B		Act 2 (N) Super B		Act 2 (H) Super B	Act 2 (H) Super B Desecrated	0
Beetleburst	BeetleburstName	Beetleburst	scarab2	scarab2	?c0(?c450/?c9105?c0/B17%)	13		8	0	0	3	3	1	0	1	13	13	13	Act 2 Super B		Act 2 (N) Super B		Act 2 (H) Super B	Act 2 (H) Super B Desecrated	0
Leatherarm	LeatherarmName	Leatherarm	mummy2	mummy2	?c0(?c450/?c933/?c333/?c2100?c0/B16%)	14		5	18	0	5	5	1	0		25	25	25	Act 2 Super A		Act 2 (N) Super A		Act 2 (H) Super A	Act 2 (H) Super A Desecrated	0
Coldworm the Burrower	Coldworm the BurrowerName	Coldworm the Burrower	maggotqueen1	maggotqueen1	?c0(?c450/?c2120?c0/B12%)	15		18	8	0	0	0	0	0		13	13	13	Act 2 Super B		Act 2 (N) Super B		Act 2 (H) Super B	Act 2 (H) Super B Desecrated	0
Fire Eye	Fire EyeName	Fire Eye	sandraider3	sandraider3	?c0(?c425/?c1110/?c950/?c233?c0/B34%)	16		9	6	0	3	3	1	0		12	12	12	Act 2 Super B		Act 2 (N) Super B		Act 2 (H) Super B	Act 2 (H) Super B Desecrated	0
Dark Elder	Dark ElderName	Dark Elder	darkelder	darkelder	?c0(?c450/?c8100/?c275?c0/B17%)	17		6	8	0	4	4	1	0	1	27	27	27	Act 2 Super B		Act 2 (N) Super B		Act 2 (H) Super B	Act 2 (H) Super B Desecrated	0
The Summoner	The Summoner	The Summoner	summoner	summoner	?c0(/?c175/?c975/?c375?c0/B18%)	18		5	6	0	0	0	1	0		26	26	26	Summoner	Summoner Desecrated A	Summoner (N)	Summoner (N) Desecrated A	Summoner (H)	Summoner (H) Desecrated A	0
Ancient Kaa the Soulless	Ancient Kaa the SoullessName	Ancient Kaa the Soulless	unraveler3	unraveler3	?c0(?c433/?c8100/?c120/?c920/?c3100/?c250?c0/B33%)	19		25	5	17	3	3	1	0		11	11	11	Act 2 Super C		Act 2 (N) Super C		Act 2 (H) Super C	Act 2 (H) Super C Desecrated	0
The Smith	The SmithName	The Smith	smith	smith	?c0(?c425/?c150/?c2-50?c0/B13%)	20	smith	5	0	0	0	0	1	0		26	26	26	Smith	Smith Desecrated A	Smith (N)	Smith (N) Desecrated A	Smith (H)	Smith (H) Desecrated A	0
Web Mage the Burning	Web Mage the BurningName	Web Mage the Burning	arach4	arach4	?c0(?c450/?c1115/?c260?c0/B22%)	21		5	7	0	5	5	1	0		19	19	19	Act 3 Super A		Act 3 (N) Super A		Act 3 (H) Super A	Act 3 (H) Super A Desecrated	0
Witch Doctor Endugu	Witch Doctor EnduguName	Witch Doctor Endugu	fetishshaman4	fetishshaman4	?c0(?c425/?c825/?c1120/?c925/?c250?c0/B24%)	22		8	9	0	6	6	1	0		20	20	20	Act 3 Super B		Act 3 (N) Super B		Act 3 (H) Super B	Act 3 (H) Super B Desecrated	0
Stormtree	StormtreeName	Stormtree	thornhulk3	thornhulk3	?c0(?c425/?c3140?c0/B23%)	23		6	17	0	4	4	1	0	1	35	35	35	Act 3 Super B		Act 3 (N) Super B		Act 3 (H) Super B	Act 3 (H) Super B Desecrated	0
Sarina the Battlemaid	Sarina the BattlemaidName	Sarina the Battlemaid	corruptrogue5	corruptrogue5	?c0(?c440/?c820/?c133/?c933/?c3150/?c220?c0/B40%)	24		6	27	0	9	9	1	0	1	36	36	36	Act 3 Super B		Act 3 (N) Super B		Act 3 (H) Super B	Act 3 (H) Super B Desecrated	0
Icehawk Riftwing	Icehawk RiftwingName	Icehawk Riftwing	batdemon3	batdemon3	?c0(?c415/?c825/?c3100?c0/B22%)	25		18	26	0	7	7	1	0		21	21	21	Act 3 Super A		Act 3 (N) Super A		Act 3 (H) Super A	Act 3 (H) Super A Desecrated	0
Ismail Vilehand	Ismail VilehandName	Ismail Vilehand	councilmember1	councilmember1	?c0(?c450/?c1120/?c933/?c333/?c233?c0/B25%)	26		6	7	0	2	2	1	0		36	36	36	Council	Council Desecrated A	Council (N)	Council (N) Desecrated A	Council (H)	Council (H) Desecrated A	0
Geleb Flamefinger	Geleb FlamefingerName	Geleb Flamefinger	councilmember2	councilmember2	?c0(?c450/?c133/?c9100/?c333/?c233?c0/B25%)	27		5	9	0	2	2	1	0		37	37	37	Council	Council Desecrated A	Council (N)	Council (N) Desecrated A	Council (H)	Council (H) Desecrated A	0
Bremm Sparkfist	Bremm SparkfistName	Bremm Sparkfist	councilmember3	councilmember3	?c0(?c450/?c133/?c9100/?c333/?c233?c0/B25%)	28		30	17	0	2	2	1	0		22	22	22	Council	Council Desecrated A	Council (N)	Council (N) Desecrated A	Council (H)	Council (H) Desecrated A	0
Toorc Icefist	Toorc IcefistName	Toorc Icefist	councilmember1	councilmember1	?c0(?c450/?c1120/?c933/?c333/?c233?c0/B25%)	29		18	28	0	0	0	1	0		23	23	23	Council	Council Desecrated A	Council (N)	Council (N) Desecrated A	Council (H)	Council (H) Desecrated A	0
Wyand Voidfinger	Wyand VoidfingerName	Wyand Voidfinger	councilmember2	councilmember2	?c0(?c450/?c133/?c9100/?c333/?c233?c0/B25%)	30		25	26	0	0	0	1	0		38	38	38	Council	Council Desecrated A	Council (N)	Council (N) Desecrated A	Council (H)	Council (H) Desecrated A	0
Maffer Dragonhand	Maffer DragonhandName	Maffer Dragonhand	councilmember3	councilmember3	?c0(?c450/?c133/?c9100/?c333/?c233?c0/B25%)	31		5	6	0	0	0	1	0		23	23	23	Council	Council Desecrated A	Council (N)	Council (N) Desecrated A	Council (H)	Council (H) Desecrated A	0
Winged Death	Winged DeathName	Winged Death	megademon3	megademon3	?c0(?c450/?c1130/?c975/?c350/?c275?c0/B39%)	32		5	7	0	7	7	1	0		24	24	24	Act 4 Super A		Act 4 (N) Super A		Act 4 (H) Super A	Act 4 (H) Super A Desecrated	0
The Tormentor	The TormentorName	The Tormentor	willowisp3	willowisp3	?c0(?c480/?c9110NF?c0/B26%)	33		8	9	0	5	5	1	0		9	9	9	Act 4 Super A		Act 4 (N) Super A		Act 4 (H) Super A	Act 4 (H) Super A Desecrated	0
Taintbreeder	TaintbreederName	Taintbreeder	vilemother2	vilemother2	?c0(?c466/?c3150?c0/B27%)	34		6	0	0	6	6	1	0		10	10	10	Act 4 Super A		Act 4 (N) Super A		Act 4 (H) Super A	Act 4 (H) Super A Desecrated	0
Riftwraith the Cannibal	Riftwraith the CannibalName	Riftwraith the Cannibal	regurgitator2	regurgitator2	?c0(?c450/?c2105?c0/B27%)	35		18	26	0	8	8	1	0		25	25	25	Act 4 Super A		Act 4 (N) Super A		Act 4 (H) Super A	Act 4 (H) Super A Desecrated	0
Infector of Souls	Infector of SoulsName	Infector of Souls	megademon3	megademon3	?c0(?c450/?c1130/?c975/?c350/?c275?c0/B39%)	36		6	27	0	9	9	1	0		26	26	26	Act 4 Super B		Act 4 (N) Super B		Act 4 (H) Super B	Act 4 (H) Super B Desecrated	0
Lord De Seis	Lord De SeisName	Lord De Seis	doomknight3	doomknight3	?c0(?c433/?c825/?c160/?c960/?c3180/?c275?c0/B29%)	37		5	30	24	5	5	1	0		11	11	11	Act 4 Super C		Act 4 (N) Super C		Act 4 (H) Super C	Act 4 (H) Super C Desecrated	0
Grand Vizier of Chaos	Grand Vizier of ChaosName	Grand Vizier of Chaos	fingermage3	fingermage3	?c0(?c450/?c9100?c0/B29%)	38		5	9	0	9	9	1	0		26	26	26	Act 4 Super B		Act 4 (N) Super B		Act 4 (H) Super B	Act 4 (H) Super B Desecrated	0
The Cow King	The Cow KingName	The Cow King	cowking	cowking	?c0(?c450/?c833/?c150/?c950/?c350/?c233?c0/B28%)	39		8	17	0	6	6	1	0		27	27	27	Cow King	Cow King Desecrated A	Cow King (N)	Cow King (N) Desecrated A	Cow King (H)	Cow King (H) Desecrated A	0
Corpsefire	CorpsefireName	Corpsefire	zombie1	zombie1	?c0(?c450/?c3120/?c275?c0/B3%)	40		27	0	0	5	5	1	0		25	25	25	Act 1 Super A		Act 1 (N) Super A		Act 1 (H) Super A	Act 1 (H) Super A Desecrated	0
The Feature Creep	The Feature CreepName	The Feature Creep	hephasto	hephasto	?c0(?c450/?c175/?c925/?c325?c0/B30%)	41	smithdemon	27	30	0	0	0	1	0		20	20	20	Haphesto	Haphesto Desecrated A	Haphesto (N)	Haphesto (N) Desecrated A	Haphesto (H)	Haphesto (H) Desecrated A	0
Expansion																									0
Siege Boss	Siege BossName	Siege Boss	overseer1	overseer1	?c0(?c440/?c133/?c920/?c3120?c0/B43%)	42		5	0	0	0	0	0	1		7	7	7	Act 5 Super A		Act 5 (N) Super A		Act 5 (H) Super A	Act 5 (H) Super A Desecrated	0
Ancient Barbarian 1	Ancient Barbarian 1Name	Ancient Barbarian 1	ancientbarb1	ancientbarb1	?c0(?c440/?c1110/?c950/?c350NF/?c250?c0%)	43		0	0	0	0	0	0	1		25	25	25	3BB Drop	3BB Drop	3BB Drop N	3BB Drop N	3BB Drop H	3BB Drop H	0
Ancient Barbarian 2	Ancient Barbarian 2Name	Ancient Barbarian 2	ancientbarb2	ancientbarb2	?c0(?c440/?c150/?c9100/?c370/?c250?c0%)	44		0	0	0	0	0	0	1		26	26	26	3BB Drop	3BB Drop	3BB Drop N	3BB Drop N	3BB Sunder Charms Drop	3BB Sunder Charms Drop	0
Ancient Barbarian 3	Ancient Barbarian 3Name	Ancient Barbarian 3	ancientbarb3	ancientbarb3	?c0(?c440/?c170/?c950/?c3150NF/?c250?c0%)	45		0	0	0	0	0	0	1		11	11	11	3BB Drop	3BB Drop	3BB Drop N	3BB Drop N	3BB Drop H	3BB Drop H	0
Axe Dweller	Axe DwellerName	Axe Dweller	bloodlord3	bloodlord3	?c0(?c4100/?c833/?c133/?c933/?c333/?c233?c0/B50%)	46		8	9	0	2	2	0	0		20	20	20	Act 5 Super C		Act 5 (N) Super C		Act 5 (H) Super C	Act 5 (H) Super C Desecrated	0
Bonesaw Breaker	Bonesaw BreakerName	Bonesaw Breaker	reanimatedhorde2	reanimatedhorde2	?c0(?c450/?c933/?c3150/?c280?c0/B47%)	47		5	8	0	5	5	0	0		35	35	35	Act 5 Super A		Act 5 (N) Super A		Act 5 (H) Super A	Act 5 (H) Super A Desecrated	0
Dac Farren	Dac FarrenName	Dac Farren	imp3	imp3	?c0(/?c825/?c1110/?c925/?c333?c0/B33%)	48		18	0	0	4	4	0	0	1	36	36	36	Act 5 Super B		Act 5 (N) Super B		Act 5 (H) Super B	Act 5 (H) Super B Desecrated	0
Megaflow Rectifier	Megaflow RectifierName	Megaflow Rectifier	minion1	minion1	?c0(?c425/?c166/?c915/?c3130/?c215?c0/B50%)	49		1	6	0	8	8	0	0	1	21	21	21	Act 5 Super A		Act 5 (N) Super A		Act 5 (H) Super A	Act 5 (H) Super A Desecrated	0
Eyeback Unleashed	Eyeback UnleashedName	Eyeback Unleashed	deathmauler1	deathmauler1	?c0(?c433/?c150/?c9100/?c350?c0/B50%)	50		5	6	0	2	2	0	0		8	8	8	Act 5 Super A		Act 5 (N) Super A		Act 5 (H) Super A	Act 5 (H) Super A Desecrated	0
Threash Socket	Threash SocketName	Threash Socket	siegebeast3	siegebeast3	?c0(?c450/?c175/?c933/?c3120?c0/B50%)	51		7	0	0	0	0	0	0		37	37	37	Act 5 Super Cx		Act 5 (N) Super Cx		Act 5 (H) Super Cx	Act 5 (H) Super Cx Desecrated	0
Pindleskin	PindleskinName	Pindleskin	reanimatedhorde5	reanimatedhorde5	?c0(?c450/?c850/?c933/?c350/?c2100?c0/B50%)	52		9	0	0	6	6	0	0		22	22	22	Act 5 Super Cx		Act 5 (N) Super Cx		Act 5 (H) Super Cx	Act 5 (H) Super Cx Desecrated	0
Snapchip Shatter	Snapchip ShatterName	Snapchip Shatter	frozenhorror1	frozenhorror1	?c0(?c425/?c933/?c3150NF/?c233?c0/B48%)	53		7	18	0	4	4	0	0		23	23	23	Act 5 Super C		Act 5 (N) Super C		Act 5 (H) Super C	Act 5 (H) Super C Desecrated	0
Anodized Elite	Anodized EliteName	Anodized Elite	succubus4	succubus4	?c0(?c4100/?c166/?c950/?c350/?c225?c0/B50%)	54		9	7	0	6	6	0	0		38	38	38	Act 5 Super C		Act 5 (N) Super C		Act 5 (H) Super C	Act 5 (H) Super C Desecrated	0
Vinvear Molech	Vinvear MolechName	Vinvear Molech	succubuswitch2	succubuswitch2	?c0(?c410/?c1110/?c966/?c350/?c225?c0/B49%)	55		8	5	18	0	0	0	0		23	23	23	Act 5 Super A		Act 5 (N) Super A		Act 5 (H) Super A	Act 5 (H) Super A Desecrated	0
Sharp Tooth Sayer	Sharp Tooth SayerName	Sharp Tooth Sayer	overseer3	overseer3	?c0(?c440/?c133/?c920/?c3140?c0/B47%)	56		6	0	0	3	3	0	0	1	24	24	24	Act 5 Super B		Act 5 (N) Super B		Act 5 (H) Super B	Act 5 (H) Super B Desecrated	0
Magma Torquer	Magma TorquerName	Magma Torquer	imp5	imp5	?c0(/?c825/?c1120/?c925/?c333?c0/B37%)	57		5	7	0	5	5	0	0		9	9	9	Act 5 Super C		Act 5 (N) Super C		Act 5 (H) Super C	Act 5 (H) Super C Desecrated	0
Blaze Ripper	Blaze RipperName	Blaze Ripper	deathmauler5	deathmauler5	?c0(?c433/?c150/?c950/?c3145?c0/B50%)	58		17	6	0	4	4	0	0		10	10	10	Act 5 Super C		Act 5 (N) Super C		Act 5 (H) Super C	Act 5 (H) Super C Desecrated	0
Frozenstein	FrozensteinName	Frozenstein	snowyeti4	snowyeti4	?c0(?c440/?c925/?c3210?c0/B50%)	59		18	25	0	5	6	0	0		19	19	19	Act 5 Super C		Act 5 (N) Super C		Act 5 (H) Super C	Act 5 (H) Super C Desecrated	0
Nihlathak Boss	NihlathakName	Nihlathak	nihlathakboss	nihlathakboss	?c0(/?c825/?c133/?c933/?c370/?c270?c0/B50%)	60		0	0	0	0	0	0	1		28	28	28	Nihlathak	Nihlathak Desecrated	Nihlathak (N)	Nihlathak (N) Desecrated	Nihlathak (H)	Nihlathak (H) Desecrated	0
Baal Subject 1	Baal Subject 1Name	Baal Subject 1	fallenshaman5	fallenshaman5	?c0(?c425/?c850/?c1120?c0/B39%)	61		9	0	0	5	5	0	1		29	29	29	Act 5 Champ C		Act 5 (N) Champ C		Act 5 (H) Champ C	Act 5 (H) Champ C Desecrated	0
Baal Subject 2	Baal Subject 2Name	Baal Subject 2	unraveler5	unraveler5	?c0(?c433/?c8100/?c166/?c966/?c366/?c250?c0/B33%)	62		23	0	0	3	3	0	1		21	21	21	Act 5 Champ C		Act 5 (N) Champ C		Act 5 (H) Champ C	Act 5 (H) Champ C Desecrated	0
Baal Subject 3	Baal Subject 3	Baal Subject 3	baalhighpriest	baalhighpriest		63		17	0	0	5	5	0	1		36	36	36	Act 5 Champ C		Act 5 (N) Champ C		Act 5 (H) Champ C	Act 5 (H) Champ C Desecrated	0
Baal Subject 4	Baal Subject 4Name	Baal Subject 4	venomlord	venomlord	?c0(/?c195/?c2120?c0/B50%)	64		6	0	0	8	8	0	1		20	20	20	Act 5 Champ C		Act 5 (N) Champ C		Act 5 (H) Champ C	Act 5 (H) Champ C Desecrated	0
Baal Subject 5	Baal Subject 5Name	Baal Subject 5	baalminion1	baalminion1	?c0(?c450/?c1120/?c933/?c350/?c295?c0/B50%)	65		27	0	0	5	5	0	1		20	20	20	Act 5 Champ C		Act 5 (N) Champ C		Act 5 (H) Champ C	Act 5 (H) Champ C Desecrated	0
