index	*ID	set	cannotloot	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Tancred's Hobnails	32	Tancred's Battlegear		lbt	Boots	3	27	20	dgld	dgld						5	2500	2	regen-stam		25	25	dex		10	10																													move3		30	30					str		10	10																														0
Tancred's Weird	33	Tancred's Battlegear		amu	Amulet	3	27	20	dgld	dgld						5	2500	2	red-dmg		2	2	red-mag		1	1																													mag%		78	78					att		60	60																														0
Tancred's Skull	34	Tancred's Battlegear		bhm	Bone Helm	3	27	20	dgld	dgld						5	2500	2	dmg%		10	10	att		40	40																													res-all		10	10																																						0
Sigon's Gage	35	Sigon's Complete Steel		hgl	Gauntlets	3	9	6	whit	whit						5	2500	2	str		10	10	att		20	20																													swing3		30	30																																						0
Sigon's Visor	36	Sigon's Complete Steel		ghm	Great Helm	3	9	6	whit	whit						5	2500	2	mana		30	30	ac		25	25																													att/lvl	16																																								0
Sigon's Shelter	37	Sigon's Complete Steel		gth	Gothic Plate	3	9	6	whit	whit						5	2500	2	ac%		25	25	res-ltng		30	30																													thorns		20	20																																						0
Sigon's Sabot	38	Sigon's Complete Steel		hbt	Greaves	3	9	6	whit	whit						5	2500	2	move2		20	20	res-cold		40	40																													att		50	50					mag%		50	50																														0
Sigon's Wrap	39	Sigon's Complete Steel		hbl	Plated Belt	3	9	6	whit	whit						5	2500	2	res-fire		20	20	hp		20	20																													ac/lvl	16																																								0
Sigon's Guard	40	Sigon's Complete Steel		tow	Tower Shield	3	9	6	whit	whit						5	2500	2	allskills		1	1	block		20	20																																																																						0
Infernal Cranium	41	Infernal Tools		cap	Cap	3	7	5	lyel	lyel						5	2500	2	res-all		10	10	dmg-to-mana		20	20																													ac/lvl	16																																								0
Infernal Torch	42	Infernal Tools		gwn	Grim Wand	3	7	5	lyel	lyel						5	2500	2	dmg-min		8	8	nec		1	1																													att/lvl	20																																								0
Infernal Sign	43	Infernal Tools		tbl	Heavy Belt	3	7	5	lyel	lyel						5	2500	2	ac		25	25	hp		20	20																													res-pois		25	25					half-freeze		1	1																														0
Berserker's Headgear	44	Berserker's Garb		hlm	Helm	3	5	3	dred	dred						5	2500	2	ac		15	15	res-fire		25	25																													att/lvl	16																																								0
Berserker's Hauberk	45	Berserker's Garb		spl	Splint Mail	3	5	3	dred	dred						5	2500	2	red-mag		2	2	bar		1	1																													ac/lvl	24																																								0
Berserker's Hatchet	46	Berserker's Garb		2ax	Double Axe	3	5	3	dred	dred						5	2500	2	att%		30	30	manasteal		5	5																													dmg%		50	50																																						0
Death's Hand	47	Death's Disguise		lgl	Leather Gloves	3	8	6	lred	lred						5	2500	2	res-pois		50	50	res-pois-len		75	75																													swing3		30	30																																						0
Death's Guard	48	Death's Disguise		lbl	Sash	3	8	6	lred	lred						5	2500	2	ac		20	20	nofreeze		1	1																													res-all		15	15																																						0
Death's Touch	49	Death's Disguise		wsd	War Sword	3	8	6	lred	lred						5	2500	2	dmg%		25	25	lifesteal		4	4																													dmg-cold	75	25	75																																						0
Angelic Sickle	50	Angelical Raiment		sbr	Sabre	3	17	12	lgry	lgry						5	2500	2	att%		75	75	lifesteal		10	10																													dmg%		200	200					swing3		30	30																														0
Angelic Mantle	51	Angelical Raiment		rng	Ring Mail	3	17	12	lgry	lgry						5	2500	2	balance2		30	30	ac%		40	40																													ac		150	150					res-fire		50	50																														0
Angelic Halo	52	Angelical Raiment		rin	Ring	2	17	12	lgry	lgry						5	2500	2	regen		8	8	hp		75	75																													att/lvl		24	24					mag%		50	50																														0
Angelic Wings	53	Angelical Raiment		amu	Amulet	3	17	12	lgry	lgry						5	2500	2	light		5	5	dmg2mana		20	20																													hp%		25	25					allskills		1	1	hp%																													0
Arctic Horn	54	Arctic Gear		swb	Short War Bow	3	3	2	lgld	lgld						5	2500	2	att%		20	20	dmg%		50	50																													att/lvl	16							dmg-cold	75	20	30																														0
Arctic Furs	55	Arctic Gear		qui	Quilted Armor	3	3	2	lgld	lgld						5	2500	2	ac%		275	325	res-all		10	10																													ac/lvl	24							res-cold		15	15																														0
Arctic Binding	56	Arctic Gear		vbl	Light Belt	3	3	2	lgld	lgld						5	2500	2	res-cold		40	40	ac		30	30																													mag%		40	40					res-cold		10	10																														0
Arctic Mitts	57	Arctic Gear		tgl	Light Gauntlets	3	3	2	lgld	lgld						5	2500	2	hp		20	20	swing1		10	10																													att		50	50					dex		10	10																														0
Arcanna's Sign	58	Arcanna's Tricks		amu	Amulet	1	20	15	blac	blac						5	2500	2	mana		15	15	regen-mana		20	20																													mag%		50	50					res-fire		20	20																														0
Arcanna's Deathwand	59	Arcanna's Tricks		wst	War Staff	3	20	15	blac	blac						5	2500	2	sor		1	1	deadly		25	25																													mana		50	50					regen-mana		5	5																														0
Arcanna's Head	60	Arcanna's Tricks		skp	Skull Cap	3	20	15	blac	blac						5	2500	2	regen		4	4	thorns		2	2																													ac/lvl	24							res-ltng		15	15																														0
Arcanna's Flesh	61	Arcanna's Tricks		ltp	Light Plate	3	20	15	blac	blac						5	2500	2	light		2	2	red-dmg		3	3																													ac		100	100					enr		10	10																														0
Expansion																																																																																																
Natalya's Totem	62	Natalya's Odium		xh9	Grim Helm	3	22	59	dgry	dgry						5	5000		ac		135	175	dex		20	30	str		10	20	res-all		10	20	red-mag		3	3																																																										0
Natalya's Mark	63	Natalya's Odium		7qr	Scissors Suwayyah	3	22	79	dgry	dgry						5	5000		swing3		40	40	dmg%		200	200	ignore-ac		1	1	dmg-cold	100	50	50	dmg-fire		12	17	dmg-undead		200	200	dmg-demon		200	200																																																		0
Natalya's Shadow	64	Natalya's Odium		ucl	Loricated Mail	3	22	73	dgry	dgry						5	5000		ac		150	225	hp/lvl	8			skilltab	19	2	2	res-pois-len		75	75	res-pois		25	25	sock		1	3																																																						0
Natalya's Soul	65	Natalya's Odium		xmb	Mesh Boots	3	22	25	dgry	dgry						5	5000		ac		75	125	move3		40	40	regen-stam/lvl	2			dur		50	50	res-cold		15	25	res-ltng		15	25																																																						0
Aldur's Stony Gaze	66	Aldur's Watchtower		dr8	Hunter's Guise	3	29	36	oran	oran						5	5000	2	ac		90	90	regen-mana		17	17	light		5	5	balance3		25	25	res-cold		40	50	sock		2	2													enr		15	15					enr		15	15					enr		15	15																						0
Aldur's Deception	67	Aldur's Watchtower		uul	Shadow Plate	3	29	76	oran	oran						5	5000	2	ac		300	300	skilltab	16	1	1	str		20	20	dex		15	15	res-ltng		40	50	ease		-50	-50	skilltab	17	1	1									vit		15	15					vit		15	15					vit		15	15																						0
Aldur's Gauntlet	68	Aldur's Watchtower		9mt	Jagged Star	3	29	42	oran	oran						5	5000	2	dmg-norm		40	62	dmg-ltng		50	75	lifesteal		10	10	swing3		30	30	dmg-demon		200	200	manasteal		5	5	sock		2	5									str		15	15					str		15	15					str		15	15																						0
Aldur's Advance	69	Aldur's Watchtower		xtb	Battle Boots	3	29	45	oran	oran						5	5000	2	indestruct		1	1	regen-stam		32	32	hp		50	50	dmg-to-mana		10	10	move3		40	40	stam		180	180	res-fire		40	50									dex		15	15					dex		15	15					dex		15	15																						0
Immortal King's Will	70	Immortal King		ba5	Avenger Guard	3	37	47	lgry	lgry						5	5000		ac		125	125	gold%		37	37	skilltab	14	2	2	light		4	4	mag%		25	40	sock		2	2																																																						0
Immortal King's Soul Cage	71	Immortal King		uar	Sacred Armor	3	37	76	lgry	lgry						5	5000	2	ac		400	400	gethit-skill	52	5	15	skilltab	12	2	2	res-pois		50	50																					balance2		25	25					res-cold		40	40					res-fire		40	40					res-ltng		40	40					ac%		50	50						0
Immortal King's Detail	72	Immortal King		zhb	War Belt	3	37	29	lgry	lgry						5	5000	2	ac		36	36	res-fire		28	28	res-ltng		31	31	str		25	25																					ac		105	105					balance2		25	25					ac%		100	100					red-dmg%		20	20					skilltab	13	2	2						0
Immortal King's Forge	73	Immortal King		xhg	War Gauntlets	3	37	30	lgry	lgry						5	5000	2	ac		65	65	str		20	20	dex		20	20	gethit-skill	38	12	14																					swing2		25	25					ac		120	120					lifesteal		10	10					manasteal		10	10					freeze		2	2						0
Immortal King's Pillar	74	Immortal King		xhb	War Boots	3	37	31	lgry	lgry						5	5000	2	ac		75	75	move3		40	40	att		110	110	hp		44	44																					mag%		25	25					skilltab	12	2	2					ac		160	160					half-freeze		1	1														0
Immortal King's Stone Crusher	75	Immortal King		7m7	Ogre Maul	3	37	76	lgry	lgry						5	5000	2	indestruct		1	1	swing3		40	40	dmg-demon		200	200	dmg-undead		200	200	crush		35	40	dmg%		200	200	sock		2	2									dmg-fire		211	397					dmg-ltng		7	477					dmg-cold	150	127	364					dmg-pois	150	349	349					dmg-mag		250	361						0
Tal Rasha's Fire-Spun Cloth	76	Tal Rasha's Wrappings		umc	Mithril Coil	3	26	53	dpur	dpur						5	5000	2	ease		-20	-20	mana		30	30	dex		20	20	dmg-to-mana		40	40	regen-mana		50	50	ac		60	60	cast2		10	10									ac		60	60					cast2		10	10																														0
Tal Rasha's Adjudication	77	Tal Rasha's Wrappings		amu	Amulet	1	26	67	dpur	dpur						5	5000	2	sor		1	2	mana		30	30	hp		50	50	res-all		30	30	skill-rand	5	36	60	skill-rand	5	36	60																													cast2		10	10																					1	0
Tal Rasha's Lidless Eye	78	Tal Rasha's Wrappings		oba	Swirling Crystal	3	26	65	dpur	dpur						5	5000	2	hp		50	50	mana		125	125	enr		20	20	cast3		50	50	extra-cold		15	25	extra-fire		15	25	extra-ltng		15	25									sor		3	3					pierce-fire		15	15					pierce-ltng		15	15					pierce-cold		15	15														0
Tal Rasha's Howling Wind	79	Tal Rasha's Wrappings		ult	Hellforge Plate	3	26	71	dpur	dpur						5	5000	2	ease		-60	-60	indestruct		1	1	balance3		50	50	res-cold		40	40	res-fire		40	40	res-ltng		40	40	ac		400	400									cast2		10	10																																					1	0
Tal Rasha's Horadric Crest	80	Tal Rasha's Wrappings		ci2	Tiara	3	26	66	dpur	dpur						5	5000		mana		30	30	hp		60	60	ac		160	160	light		10	10	heal-kill		5	8	mana-kill		5	8																																																						0
Griswold's Valor	81	Griswold's Legacy		urn	Corona	3	44	69	dgld	dgld						5	5000	2	ac		100	150	abs-cold/lvl		2	2	sock		2	2	ease		-40	-40	mag%		30	45	res-all		15	15													skilltab	10	2	3																																						0
Griswold's Heart	82	Griswold's Legacy		xar	Ornate Plate	3	44	45	dgld	dgld						5	5000		ac		750	750	skilltab	11	2	2	sock		3	3	balance3		50	50	skill-rand	5	96	125																																																										0
Griswolds's Redemption	83	Griswold's Legacy		7ws	Caduceus	3	44	53	dgld	dgld						5	5000	2	extra-ltng		33	33	cast3		100	100	oskill	Teleport	1	1	ease		-20	-20	sock		4	4																	skilltab	9	2	2					mana-kill		12	12					heal-kill		12	12																						0
Griswold's Honor	84	Griswold's Legacy		paf	Vortex Shield	3	44	68	dgld	dgld						5	5000		ac		200	200	sock	3			block2		75	75	block		30	30	res-all		45	45																																																										0
Trang-Oul's Guise	85	Trang-Oul's Avatar		uh9	Bone Visage	3	32	65	dgld	dgld						5	5000		ac		80	100	balance2		25	25	thorns		20	20	mana		150	150	regen		5	5																																																										0
Trang-Oul's Scales	86	Trang-Oul's Avatar		xul	Chaos Armor	3	32	49	dyel	dyel						5	5000	2	ease		-40	-40	ac-miss		100	100	res-pois		40	40	skilltab	8	2	2	move3		40	40	ac%		150	150																					res-ltng		50	50													red-dmg%		25	25														0
Trang-Oul's Wing	87	Trang-Oul's Avatar		ne9	Cantor Trophy	3	32	54	dyel	dyel						5	5000	2	ac		125	125	str		25	25	dex		15	15	res-fire		38	45	block		30	30	res-pois		40	40	skilltab	7	2	2																	pierce-pois		25	25					regen		15	15																						0
Trang-Oul's Claws	88	Trang-Oul's Avatar		xmg	Heavy Bracers	3	32	45	dyel	dyel						5	5000		ac		30	30	cast3		20	20	res-cold		30	30	skilltab	6	2	2																																					extra-pois		25	25																						0
Trang-Oul's Girth	89	Trang-Oul's Avatar		utc	Troll Belt	3	32	47	dyel	dyel						5	5000	2	ac		75	100	stam		30	30	regen		5	5	hp		66	66	nofreeze		1	1	ease		-40	-40	mana		25	50																	res-cold		40	40																														0
M'avina's True Sight	90	M'avina's Battle Hymn		ci3	Diadem	3	21	59	whit	whit						5	5000	2	ac		150	150	regen		10	10	swing2		30	30	mana		25	25																					allskills		1	1					att%		50	50					res-all		25	25																						0
M'avina's Embrace	91	M'avina's Battle Hymn		uld	Kraken Shell	3	21	70	whit	whit						5	5000	2	gethit-skill	55	10	13	ease		-30	-30	red-mag		5	12	skilltab	1	2	2	ac/lvl	32			ac		350	350																					balance2		30	30																														0
M'avina's Icy Clutch	92	M'avina's Battle Hymn		xtg	Battle Gauntlets	3	21	32	whit	whit						5	5000	2	ac		45	50	dmg-cold	150	6	18	half-freeze		1	1	gold%		56	56	str		10	10	dex		15	15																													dmg-cold	100	131	252					extra-cold		20	20														0
M'avina's Tenet	93	M'avina's Battle Hymn		zvb	Sharkskin Belt	3	21	45	whit	whit						5	5000	2	ac		50	50	move2		20	20	manasteal		5	5	light		5	5																																					res-all		25	25																						0
M'avina's Caster	94	M'avina's Battle Hymn		amc	Grand Matron Bow	3	21	70	whit	whit						5	5000	2	dmg%		188	188	swing3		40	40	magicarrow		1	1	att		50	50																					dmg-mag		114	377					hit-skill	Nova	10	25					skilltab	0	2	2																						0
Telling of Beads	95	The Disciple		amu	Amulet	1	39	30	lblu	lblu						5	5000		res-pois		35	50	allskills		1	1	res-cold		18	18	thorns		8	10																																																														0
Laying of Hands	96	The Disciple		ulg	Bramble Mitts	3	39	63	lblu	lblu						5	5000		ac		25	25	swing2		20	20	res-fire		50	50	dmg-demon		350	350	hit-skill	101	10	18																																																										0
Rite of Passage	97	The Disciple		xlb	Demonhide Boots	3	39	29	lblu	lblu						5	5000		ac		25	25	move3		30	30	half-freeze		1	1	stam		15	25																																																														0
Spiritual Custodian	98	The Disciple		uui	Dusk Shroud	3	39	43	lblu	lblu						5	5000		ac		305	415	res-fire		24	24	gethit-skill	48	25	13	dmg-pois	50	125	175																																																														0
Credendum	99	The Disciple		umc	Mithril Coil	3	39	65	lblu	lblu						5	5000		ac		50	50	str		10	10	dex		10	10	res-all		15	15																																																														0
Dangoon's Teaching	100	Heaven's Brethren		7ma	Reinforced Mace	3	55	68								5	5000		dmg/lvl	20			swing3		40	40	hit-skill	44	10	18	dmg%		180	300	sock		2	3																																																										0
Heaven's Taebaek	101	Heaven's Brethren		uts	Ward	3	55	81								5	5000		ac		50	50	mana		100	100	res-ltng		30	30	thorns		30	30	indestruct		1	1	block		25	25	block3		30	30																																																		0
Haemosu's Adament	102	Heaven's Brethren		xrs	Cuirass	3	55	44								5	5000		ac		500	500	ac-miss		85	85	hp		75	75	ac-hth		60	60	ease		-20	-20	dmg%/lvl		8	12																																																						0
Ondal's Almighty	103	Heaven's Brethren		uhm	Spired Helm	3	55	69								5	5000		ac		50	50	ease		-40	-40	hit-skill	72	10	13	str		10	10	dex		15	15	balance3		24	24																																																						0
Guillaume's Face	104	Orphan's Call		xhm	Winged Helm	3	41	34	lgry	lgry						5	5000		ac%		120	120	balance3		30	30	crush		35	35	deadly		15	15	str		15	15																																																										0
Wilhelm's Pride	105	Orphan's Call		ztb	Battle Belt	3	41	42	lgry	lgry						5	5000		ac%		75	75	manasteal		5	5	res-cold		10	10	lifesteal		5	5																																																														0
Magnus' Skin	106	Orphan's Call		xvg	Sharkskin Gloves	3	41	37	lgry	lgry						5	5000		ac%		50	50	res-fire		15	15	swing2		20	20	light		3	3	att		100	100																																																										0
Wihtstan's Guard	107	Orphan's Call		xml	Round Shield	3	41	29	lgry	lgry						5	5000		ac%		175	175	block3		40	40	block		55	55	half-freeze		1	1	light		5	5																																																										0
Hwanin's Splendor	108	Hwanin's Majesty		xrn	Grand Crown	3	28	45								5	5000		regen		20	20	red-mag		10	10	res-cold		37	37	ac%		100	100																																																														0
Hwanin's Refuge	109	Hwanin's Majesty		xcl	Tigulated Mail	3	28	30								5	5000		ac		200	200	res-pois		27	27	hp		100	100	gethit-skill	42	10	13																																																														0
Hwanin's Seal	110	Hwanin's Majesty		mbl	Belt	3	28	35								5	5000		dmg-ltng		3	33	noheal		1	1	ac/lvl	12			dmg-to-mana		12	12																																																														0
Hwanin's Justice	111	Hwanin's Majesty		9vo	Bill	3	28	28								5	5000		att		330	330	indestruct		1	1	hit-skill	45	10	13	swing3		40	40	dmg%		200	200	dmg-ltng		5	25																																																						0
Sazabi's Cobalt Redeemer	112	Sazabi's Grand Tribute		7ls	Cryptic Sword	3	34	73	dblu	dblu						5	5000		dmg%		150	150	dmg-cold	50	25	35	swing3		40	40	dmg-demon		318	318	indestruct		1	1	dex		15	15	str		5	5																																																		0
Sazabi's Ghost Liberator	113	Sazabi's Grand Tribute		upl	Balrog Skin	3	34	67	dblu	dblu						5	5000		ac		400	400	balance3		30	30	str		25	25	att-demon		300	300	hp		50	75																																																										0
Sazabi's Mental Sheath	114	Sazabi's Grand Tribute		xhl	Basinet	3	34	43	dblu	dblu						5	5000		ac		100	100	allskills		1	1	res-fire		15	20	res-ltng		15	20																																																														0
Bul-Kathos' Sacred Charge	115	Bul-Kathos' Children		7gd	Colossus Blade	3	50	61	dgrn	dgrn						5	5000		crush		35	35	res-all		20	20	swing2		20	20	dmg%		200	200																																																														0
Bul-Kathos' Tribal Guardian	116	Bul-Kathos' Children		7wd	Mythical Sword	3	50	54	dgrn	dgrn						5	5000		res-fire		50	50	dmg-pois	50	255	255	swing2		20	20	str		20	20	dmg%		200	200																																																										0
Cow King's Horns	117	Cow King's Leathers		xap	War Hat	3	20	25								5	5000		ac		75	75	half-freeze		1	1	dmg-to-mana		35	35	thorns		10	10																																																														0
Cow King's Hide	118	Cow King's Leathers		stu	Studded Leather	3	20	18								5	5000		res-all		18	18	ac%		60	60	hp		30	30	gethit-skill	53	18	15																																																														0
Cow King's Hoofs	119	Cow King's Leathers		vbt	Heavy Boots	3	20	13								5	5000		ac		25	35	move3		30	30	mag%		25	25	dex		20	20	dmg-fire		25	35																																																										0
Naj's Puzzler	120	Naj's Ancient Set		6cs	Elder Staff	3	43	78								5	5000		enr		35	35	dmg%		150	150	charged	54	69	11	cast3		30	30	dmg-ltng		6	45	mana		70	70	allskills		1	1																																																		0
Naj's Light Plate	121	Naj's Ancient Set		ult	Hellforge Plate	3	43	71								5	5000		ease		-60	-60	hp		65	65	res-all		25	25	dmg-to-mana		45	45	allskills		1	1	ac		300	300																																																						0
Naj's Circlet	122	Naj's Ancient Set		ci0	Circlet	3	43	28								5	5000		ac		75	75	dmg-fire		25	35	light		5	5	str		15	15	gethit-skill	53	12	15																																																										0
McAuley's Paragon	123	McAuley's Folly		cap	Cap	2	20	25	lpur	lpur						5	5000		mag%		35	35	thorns		8	8	ac/lvl	8																																																																				0
McAuley's Riprap	124	McAuley's Folly		vbt	Heavy Boots	3	20	20	lpur	lpur						5	5000		move3		40	40	att		100	100	str		5	5	dex		10	10																																																														0
McAuley's Taboo	125	McAuley's Folly		vgl	Heavy Gloves	3	20	28	lpur	lpur						5	5000		ac		20	25	swing2		20	20	hp		40	40	dmg-pois	75	30	36																																																														0
McAuley's Superstition	126	McAuley's Folly		bwn	Bone Wand	3	20	25	lpur	lpur						5	5000		dmg%	2	75	75	mana		25	25	manasteal		8	8	cast3		20	20	dmg-cold	50	25	75																																																										0
Warlord's Conquest	127	Warlord's Glory		hgl	Gauntlets	3	9	1	lgld	lgld						5	5000	2	str		15	15	att		45	45																													swing3		20	20																																						0
Warlord's Lust	128	Warlord's Glory		ghm	Great Helm	3	9	1	dgld	lgld						5	5000	2	hp		30	30	ac		15	15																													att		50	50	ac/lvl	16																																				0
Warlord's Mantle	129	Warlord's Glory		ful	Full Plate Mail	3	9	1	lgld	lgld						5	5000	2	ac%		25	25	res-cold		30	30																													mana		20	20																																						0
Warlord's Crushers	130	Warlord's Glory		hbt	Greaves	3	9	1	lgld	lgld						5	5000	2	move2		20	20	res-fire		20	20																													mag%		75	75																																						0
Warlord's Authority	131	Warlord's Glory		hbl	Plated Belt	3	9	1	lgld	lgld						5	5000	2	res-ltng		20	20	hp		25	25																													att/lvl	16																																								0
Jakira's Strike	132	Midnight Calling		axf	Hatchet hands	7	10	12	lgry	lgry						5	5000	2	dmg%		120	120	lifesteal		5	5																													dmg-min		15	15																																						0
Jakira's Braces	133	Midnight Calling		mgl	Chain Gloves	7	10	10	lgry	lgry						5	5000	2	swing1		10	10	ac%		75	75	hp		25	35																																	skilltab	18	2	2																														0
Jakira's Hood	134	Midnight Calling		cap	Cap	7	10	5	lgry	lgry						5	5000	2	ass		1	1	ac		15	25	mana		20	30																									red-mag		6	6																																						0
Jakira's Leather Jerkin	135	Midnight Calling		stu	Studded Leather Armor	7	10	9	lgry	lgry						5	5000	2	ac		35	50	dex		15	15	str		15	15																																	red-dmg		8	8																														0
