Hireling	*SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Dmg-Min	Dmg-Max	Dmg/Lvl	ResistFire	ResistFire/Lvl	ResistCold	ResistCold/Lvl	ResistLightning	ResistLightning/Lvl	ResistPoison	ResistPoison/Lvl	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	HiringMaxLevelDifference	resurrectcostmultiplier	resurrectcostdivisor	resurrectcostmax	equivalentcharclass
Rogue Scout	Fire - Hell	0	4	271	1	3	49	150	merc01	merc41	12500	120	438	25	378	18	87	10	127	16	618	30	17	19	6	80	5	80	5	80	5	80	5	strhirespecial1	75	Inner Sight	4	10	0	14	13	Fire Arrow	4	69	0	17	13																									5	15	2	50000	ama
Rogue Scout	Ice - Hell	0	5	271	1	3	49	150	merc01	merc41	14000	125	438	25	378	18	87	10	127	16	618	30	17	19	6	80	5	80	5	80	5	80	5	strhirespecial2	75	Inner Sight	4	10	0	14	13	Cold Arrow	4	69	0	17	13																									5	15	2	50000	ama
Rogue Scout	Fire - Normal	100	0	271	1	1	3	150	merc01	merc41	100	100	45	20	15	8	35	10	45	16	10	12	1	3	2	0	8	0	8	0	8	0	8	strhirespecial1	75	Inner Sight	4	10	0	1	13	Fire Arrow	4	25	5	4	13	Exploding Arrow	4	0	4	4	12																			1	15	2	50000	ama
Rogue Scout	Fire - Normal	100	0	271	1	1	36	150	merc01	merc41	6000	110	342	28	279	15	77	10	111	16	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial1	75	Inner Sight	4	10	0	12	13	Fire Arrow	4	67	0	15	13	Exploding Arrow	4	33	10	10	12																			1	15	2	50000	ama
Rogue Scout	Fire - Normal	100	0	271	1	1	67	150	merc01	merc41	12500	120	900	48	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial1	75	Inner Sight	4	10	0	22	13	Fire Arrow	4	67	0	25	13	Exploding Arrow	4	111	0	15	12																			1	15	2	50000	ama
Rogue Scout	Ice - Normal	100	1	271	1	1	3	150	merc01	merc41	150	105	45	20	15	8	35	10	45	16	10	12	1	3	2	0	8	0	8	0	8	0	8	strhirespecial2	75	Inner Sight	4	10	0	1	13	Cold Arrow	4	25	5	4	13	Freezing Arrow	4	0	4	4	12																			1	15	2	50000	ama
Rogue Scout	Ice - Normal	100	1	271	1	1	36	150	merc01	merc41	7500	115	342	28	279	15	77	10	111	16	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial2	75	Inner Sight	4	10	0	12	13	Cold Arrow	4	67	0	15	13	Freezing Arrow	4	33	10	7	12																			1	15	2	50000	ama
Rogue Scout	Ice - Normal	100	1	271	1	1	67	150	merc01	merc41	14000	125	900	48	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial2	75	Inner Sight	4	10	0	22	13	Cold Arrow	4	67	0	25	13	Freezing Arrow	4	111	0	10	12																			1	15	2	50000	ama
Rogue Scout	Fire - Nightmare	100	2	271	1	2	36	150	merc01	merc41	6000	110	342	28	279	15	77	10	111	16	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial1	75	Inner Sight	4	10	0	12	13	Fire Arrow	4	67	0	15	13	Exploding Arrow	4	33	10	10	12																			1	15	2	50000	ama
Rogue Scout	Fire - Nightmare	100	2	271	1	2	67	150	merc01	merc41	12500	120	900	48	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial1	75	Inner Sight	4	10	0	22	13	Fire Arrow	4	67	0	25	13	Exploding Arrow	4	111	0	15	12																			1	15	2	50000	ama
Rogue Scout	Ice - Nightmare	100	3	271	1	2	36	150	merc01	merc41	7500	115	342	28	279	15	77	10	111	16	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial2	75	Inner Sight	4	10	0	12	13	Cold Arrow	4	67	0	15	13	Freezing Arrow	4	33	10	7	12																			1	15	2	50000	ama
Rogue Scout	Ice - Nightmare	100	3	271	1	2	67	150	merc01	merc41	14000	125	900	48	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial2	75	Inner Sight	4	10	0	22	13	Cold Arrow	4	67	0	25	13	Freezing Arrow	4	111	0	10	12																			1	15	2	50000	ama
Rogue Scout	Fire - Hell	100	4	271	1	3	67	150	merc01	merc41	12500	120	900	48	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial1	75	Inner Sight	4	10	0	22	13	Fire Arrow	4	67	0	25	13	Exploding Arrow	4	111	0	15	12																			1	15	2	50000	ama
Rogue Scout	Ice - Hell	100	5	271	1	3	67	150	merc01	merc41	14000	125	900	48	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial2	75	Inner Sight	4	10	0	22	13	Cold Arrow	4	67	0	25	13	Freezing Arrow	4	111	0	10	12																			1	15	2	50000	ama
Desert Mercenary	Comb-Normal	0	6	338	2	1	9	198	merca201	merca221	350	110	120	24	45	11	57	14	40	12	20	12	7	14	4	18	8	18	8	18	8	18	8	skillname99	30	Jab	14	70	4	6	13	Prayer	1	10	0	6	13																									5	15	2	50000	
Desert Mercenary	Comb-Normal	0	6	338	2	1	31	198	merca201	merca221	350	110	340	32	243	16	96	14	73	12	240	20	18	25	6	62	7	62	7	62	7	62	7	skillname99	30	Jab	14	92	4	13	13	Prayer	1	10	0	13	13																									5	15	2	50000	
Desert Mercenary	Comb-Normal	0	6	338	2	1	55	198	merca201	merca221	350	110	820	56	627	24	138	14	109	12	720	30	36	43	8	104	4	104	4	104	4	104	4	skillname99	30	Jab	14	116	4	21	13	Prayer	1	10	0	21	0																									5	15	2	50000	
Desert Mercenary	Def-Normal	0	7	338	2	1	9	198	merca201	merca221	350	110	120	20	45	9	57	14	40	12	20	10	7	14	4	18	8	18	8	18	8	18	8	skillname104	30	Jab	14	70	4	6	13	Defiance	1	10	0	6	13																									5	15	2	50000	
Desert Mercenary	Def-Normal	0	7	338	2	1	31	198	merca201	merca221	350	110	340	32	243	16	96	14	73	12	240	20	18	25	6	62	7	62	7	62	7	62	7	skillname104	30	Jab	14	92	4	13	13	Defiance	1	10	0	13	13																									5	15	2	50000	
Desert Mercenary	Def-Normal	0	7	338	2	1	55	198	merca201	merca221	350	110	820	56	627	24	138	14	109	12	720	30	36	43	8	104	4	104	4	104	4	104	4	skillname104	30	Jab	14	116	4	21	0	Defiance	1	10	0	21	0																									5	15	2	50000	
Desert Mercenary	Off-Normal	0	8	338	2	1	9	198	merca201	merca221	350	110	120	20	45	9	57	14	40	12	20	10	7	14	4	18	8	18	8	18	8	18	8	skillname108	30	Jab	14	70	4	6	13	Blessed Aim	1	10	0	6	13																									5	15	2	50000	
Desert Mercenary	Off-Normal	0	8	338	2	1	31	198	merca201	merca221	350	110	340	32	243	16	96	14	73	12	240	20	18	25	6	62	7	62	7	62	7	62	7	skillname108	30	Jab	14	92	4	13	13	Blessed Aim	1	10	0	13	13																									5	15	2	50000	
Desert Mercenary	Off-Normal	0	8	338	2	1	55	198	merca201	merca221	350	110	820	56	627	24	138	14	109	12	720	30	36	43	8	104	4	104	4	104	4	104	4	skillname108	30	Jab	14	116	4	21	0	Blessed Aim	1	10	0	21	0																									5	15	2	50000	
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	31	198	merca201	merca221	7900	120	306	32	219	16	92	14	69	12	216	20	16	23	6	59	7	59	7	59	7	59	7	skillname103	30	Jab	14	120	4	12	13	Thorns	1	10	0	8	13																									5	15	2	50000	
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	55	198	merca201	merca221	7900	120	786	56	603	24	134	14	105	12	696	30	34	41	8	101	4	101	4	101	4	101	4	skillname103	30	Jab	14	144	4	20	13	Thorns	1	10	0	16	0																									5	15	2	50000	
Desert Mercenary	Def-Nightmare	0	10	338	2	2	31	198	merca201	merca221	7900	120	306	32	219	16	92	14	69	12	216	20	16	23	6	59	7	59	7	59	7	59	7	skillname114	30	Jab	14	120	4	12	13	Holy Freeze	1	10	0	9	13																									5	15	2	50000	
Desert Mercenary	Def-Nightmare	0	10	338	2	2	55	198	merca201	merca221	7900	120	786	56	603	24	134	14	105	12	696	30	34	41	8	101	4	101	4	101	4	101	4	skillname114	30	Jab	14	144	4	20	0	Holy Freeze	1	10	0	17	0																									5	15	2	50000	
Desert Mercenary	Off-Nightmare	0	11	338	2	2	31	198	merca201	merca221	7900	120	306	32	219	16	92	14	69	12	216	20	16	23	6	59	7	59	7	59	7	59	7	skillname98	30	Jab	14	120	4	12	13	Might	1	10	0	10	12																									5	15	2	50000	
Desert Mercenary	Off-Nightmare	0	11	338	2	2	55	198	merca201	merca221	7900	120	786	56	603	24	134	14	105	12	696	30	34	41	8	101	4	101	4	101	4	101	4	skillname98	30	Jab	14	144	4	20	0	Might	1	10	0	16	12																									5	15	2	50000	
Desert Mercenary	Comb-Hell	0	12	338	2	3	55	198	merca201	merca221	15000	130	707	56	543	24	130	14	101	12	626	30	32	39	8	98	4	98	4	98	4	98	4	skillname99	30	Jab	14	104	4	19	13	Prayer	1	10	0	19	0																									5	15	2	50000	
Desert Mercenary	Def-Hell	0	13	338	2	3	55	198	merca201	merca221	15000	130	707	56	543	24	130	14	101	12	626	30	32	39	8	98	4	98	4	98	4	98	4	skillname104	30	Jab	14	104	4	19	0	Defiance	1	10	0	19	0																									5	15	2	50000	
Desert Mercenary	Off-Hell	0	14	338	2	3	55	198	merca201	merca221	15000	130	707	56	543	24	130	14	101	12	626	30	32	39	8	98	4	98	4	98	4	98	4	skillname108	30	Jab	14	104	4	19	0	Blessed Aim	1	10	0	19	0																									5	15	2	50000	
Desert Mercenary	Prayer-Normal	100	6	338	2	1	9	198	merca201	merca221	350	110	120	24	45	11	57	14	40	12	20	12	7	14	4	18	8	18	8	18	8	18	8	skillname99	30	Jab	14	70	4	6	13	Prayer	1	10	0	6	12																									1	15	2	50000	
Desert Mercenary	Prayer-Normal	100	6	338	2	1	43	198	merca201	merca221	7900	110	630	40	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname99	30	Jab	14	104	4	17	13	Prayer	1	10	0	14	12																									1	15	2	50000	
Desert Mercenary	Prayer-Normal	100	6	338	2	1	75	198	merca201	merca221	15000	110	1430	64	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname99	30	Jab	14	136	4	27	13	Prayer	1	10	0	21	0																									1	15	2	50000	
Desert Mercenary	Defiance-Normal	100	7	338	2	1	9	198	merca201	merca221	350	110	120	24	45	11	57	14	40	12	20	12	7	14	4	18	8	18	8	18	8	18	8	skillname104	30	Jab	14	70	4	6	13	Defiance	1	10	0	6	12																									1	15	2	50000	
Desert Mercenary	Defiance-Normal	100	7	338	2	1	43	198	merca201	merca221	7900	110	630	40	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname104	30	Jab	14	104	4	17	13	Defiance	1	10	0	14	12																									1	15	2	50000	
Desert Mercenary	Defiance-Normal	100	7	338	2	1	75	198	merca201	merca221	15000	110	1430	64	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname104	30	Jab	14	136	4	27	0	Defiance	1	10	0	21	0																									1	15	2	50000	
Desert Mercenary	BlessedAim-Normal	100	8	338	2	1	9	198	merca201	merca221	350	110	120	24	45	11	57	14	40	12	20	12	7	14	4	18	8	18	8	18	8	18	8	skillname108	30	Jab	14	70	4	6	13	Blessed Aim	1	10	0	6	12																									1	15	2	50000	
Desert Mercenary	BlessedAim-Normal	100	8	338	2	1	43	198	merca201	merca221	7900	110	630	40	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname108	30	Jab	14	104	4	17	13	Blessed Aim	1	10	0	14	12																									1	15	2	50000	
Desert Mercenary	BlessedAim-Normal	100	8	338	2	1	75	198	merca201	merca221	15000	110	1430	64	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname108	30	Jab	14	136	4	27	0	Blessed Aim	1	10	0	21	0																									1	15	2	50000	
Desert Mercenary	Prayer-Nightmare	100	30	338	2	2	43	198	merca201	merca221	7900	110	630	40	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname99	30	Jab	14	104	4	17	13	Prayer	1	10	0	14	12																									1	15	2	50000	
Desert Mercenary	Prayer-Nightmare	100	30	338	2	2	75	198	merca201	merca221	15000	110	1430	64	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname99	30	Jab	14	136	4	27	13	Prayer	1	10	0	21	0																									1	15	2	50000	
Desert Mercenary	Defiance-Nightmare	100	31	338	2	2	43	198	merca201	merca221	7900	110	630	40	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname104	30	Jab	14	104	4	17	13	Defiance	1	10	0	14	12																									1	15	2	50000	
Desert Mercenary	Defiance-Nightmare	100	31	338	2	2	75	198	merca201	merca221	15000	110	1430	64	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname104	30	Jab	14	136	4	27	0	Defiance	1	10	0	21	0																									1	15	2	50000	
Desert Mercenary	BlessedAim-Nightmare	100	32	338	2	2	43	198	merca201	merca221	7900	110	630	40	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname108	30	Jab	14	104	4	17	13	Blessed Aim	1	10	0	14	12																									1	15	2	50000	
Desert Mercenary	BlessedAim-Nightmare	100	32	338	2	2	75	198	merca201	merca221	15000	110	1430	64	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname108	30	Jab	14	136	4	27	0	Blessed Aim	1	10	0	21	0																									1	15	2	50000	
Desert Mercenary	Thorns-Nightmare	100	9	338	2	2	43	198	merca201	merca221	7900	120	630	40	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname103	30	Jab	14	104	4	16	13	Thorns	1	10	0	14	13																									1	15	2	50000	
Desert Mercenary	Thorns-Nightmare	100	9	338	2	2	75	198	merca201	merca221	15000	120	1430	64	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname103	30	Jab	14	136	4	26	13	Thorns	1	10	0	24	13																									1	15	2	50000	
Desert Mercenary	HolyFreeze-Nightmare	100	10	338	2	2	43	198	merca201	merca221	7900	120	630	40	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname114	30	Jab	14	104	4	16	13	Holy Freeze	1	10	0	9	13																									1	15	2	50000	
Desert Mercenary	HolyFreeze-Nightmare	100	10	338	2	2	75	198	merca201	merca221	15000	120	1430	64	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname114	30	Jab	14	136	4	26	0	Holy Freeze	1	10	0	19	0																									1	15	2	50000	
Desert Mercenary	Might-Nightmare	100	11	338	2	2	43	198	merca201	merca221	7900	120	630	40	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname98	30	Jab	14	104	4	16	13	Might	1	10	0	10	12																									1	15	2	50000	
Desert Mercenary	Might-Nightmare	100	11	338	2	2	75	198	merca201	merca221	15000	120	1430	64	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname98	30	Jab	14	136	4	26	0	Might	1	10	0	18	12																									1	15	2	50000	
Desert Mercenary	Comb-Hell	100	12	338	2	3	75	198	merca201	merca221	15000	130	1430	64	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname99	30	Jab	14	136	4	27	13	Prayer	1	10	0	21	0																									1	15	2	50000	
Desert Mercenary	Def-Hell	100	13	338	2	3	75	198	merca201	merca221	15000	130	1430	64	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname104	30	Jab	14	136	4	27	0	Defiance	1	10	0	21	0																									1	15	2	50000	
Desert Mercenary	Off-Hell	100	14	338	2	3	75	198	merca201	merca221	15000	130	1430	64	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname108	30	Jab	14	136	4	27	0	Blessed Aim	1	10	0	21	0																									1	15	2	50000	
Desert Mercenary	Thorns-Hell	100	33	338	2	3	75	198	merca201	merca221	15000	130	1430	64	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname103	30	Jab	14	136	4	26	13	Thorns	1	10	0	24	13																									1	15	2	50000	
Desert Mercenary	HolyFreeze-Hell	100	34	338	2	3	75	198	merca201	merca221	15000	130	1430	64	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname114	30	Jab	14	136	4	26	0	Holy Freeze	1	10	0	19	0																									1	15	2	50000	
Desert Mercenary	Might-Hell	100	35	338	2	3	75	198	merca201	merca221	15000	130	1430	64	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname98	30	Jab	14	136	4	26	0	Might	1	10	0	18	12																									1	15	2	50000	
Eastern Sorceror	Fire-Normal	0	15	359	3	1	15	252	merca222	merca241	1000	110	160	20	80	4	49	10	40	8	15	10	1	7	4	25	7	25	7	25	7	25	7	strhirespecial7	10	Inferno	7	60	0	9	13	Fire Ball	7	30	0	7	13																									5	15	2	50000	sor
Eastern Sorceror	Fire-Normal	0	15	359	3	1	37	252	merca222	merca241	1000	110	336	22	168	10	77	10	62	8	235	20	12	18	4	64	7	64	7	64	7	64	7	strhirespecial7	10	Inferno	7	60	0	16	13	Fire Ball	7	30	0	14	13																									5	15	2	50000	sor
Eastern Sorceror	Fire-Normal	0	15	359	3	1	61	252	merca222	merca241	1000	110	672	32	408	18	107	10	86	8	715	30	24	30	4	106	6	106	6	106	6	106	6	strhirespecial7	10	Inferno	7	60	0	24	13	Fire Ball	7	30	0	22	13																									5	15	2	50000	sor
Eastern Sorceror	Cold-Normal	0	16	359	3	1	15	252	merca222	merca241	1500	120	160	20	80	4	49	10	40	8	15	10	1	7	4	25	7	25	7	25	7	25	7	strhirespecial6	10	Glacial Spike	7	60	0	4	12	Chilling Armor	7	1000	0	5	13	Ice Blast	7	240	0	9	13																			5	15	2	50000	sor
Eastern Sorceror	Cold-Normal	0	16	359	3	1	37	252	merca222	merca241	1500	120	336	22	168	10	77	10	62	8	235	20	12	18	4	64	7	64	7	64	7	64	7	strhirespecial6	10	Glacial Spike	7	60	0	8	12	Chilling Armor	7	1000	0	12	13	Ice Blast	7	240	0	16	13																			5	15	2	50000	sor
Eastern Sorceror	Cold-Normal	0	16	359	3	1	61	252	merca222	merca241	1500	120	672	32	408	16	107	10	86	8	715	30	24	30	4	106	4	106	4	106	4	106	4	strhirespecial6	10	Glacial Spike	7	60	0	12	12	Chilling Armor	7	1000	0	20	13	Ice Blast	7	240	0	24	13																			5	15	2	50000	sor
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	15	252	merca222	merca241	1000	110	160	20	80	4	49	10	40	8	15	10	1	7	4	25	7	25	7	25	7	25	7	strhirespecial5	10	Charged Bolt	7	60	0	7	12	Lightning	7	30	0	6	13																									5	15	2	50000	sor
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	37	252	merca222	merca241	1000	110	336	22	168	10	77	10	62	8	235	20	12	18	4	64	7	64	7	64	7	64	7	strhirespecial5	10	Charged Bolt	7	60	0	11	12	Lightning	7	30	0	13	13																									5	15	2	50000	sor
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	61	252	merca222	merca241	1000	110	672	32	408	16	107	10	86	8	715	30	24	30	4	106	4	106	4	106	4	106	4	strhirespecial5	10	Charged Bolt	7	60	0	15	12	Lightning	7	30	0	21	13																									5	15	2	50000	sor
Eastern Sorceror	Fire-Nightmare	0	18	359	3	2	37	252	merca222	merca241	9500	120	302	22	151	10	73	10	58	8	212	20	10	16	4	61	7	61	7	61	7	61	7	strhirespecial7	10	Inferno	7	60	0	15	13	Fire Ball	7	30	0	13	13																									5	15	2	50000	sor
Eastern Sorceror	Fire-Nightmare	0	18	359	3	2	61	252	merca222	merca241	9500	120	638	32	391	16	103	10	82	8	692	30	22	28	4	103	4	103	4	103	4	103	4	strhirespecial7	10	Inferno	7	60	0	23	13	Fire Ball	7	30	0	21	13																									5	15	2	50000	sor
Eastern Sorceror	Cold-Nightmare	0	19	359	3	2	37	252	merca222	merca241	12000	130	302	22	151	10	73	10	58	8	212	20	10	16	4	61	7	61	7	61	7	61	7	strhirespecial6	10	Glacial Spike	7	60	0	7	12	Chilling Armor	7	1000	0	11	13	Ice Blast	7	240	0	15	13																			5	15	2	50000	sor
Eastern Sorceror	Cold-Nightmare	0	19	359	3	2	61	252	merca222	merca241	12000	130	638	32	391	16	103	10	82	8	692	30	22	28	4	103	4	103	4	103	4	103	4	strhirespecial6	10	Glacial Spike	7	60	0	11	12	Chilling Armor	7	1000	0	19	13	Ice Blast	7	240	0	23	13																			5	15	2	50000	sor
Eastern Sorceror	Ltng-Nightmare	0	20	359	3	2	37	252	merca222	merca241	10000	120	302	22	151	10	73	10	58	8	212	20	10	16	4	61	7	61	7	61	7	61	7	strhirespecial5	10	Charged Bolt	7	60	0	10	12	Lightning	7	30	0	12	13																									5	15	2	50000	sor
Eastern Sorceror	Ltng-Nightmare	0	20	359	3	2	61	252	merca222	merca241	10000	120	638	32	391	16	103	10	82	8	692	30	22	28	4	103	4	103	4	103	4	103	4	strhirespecial5	10	Charged Bolt	7	60	0	14	12	Lightning	7	30	0	20	13																									5	15	2	50000	sor
Eastern Sorceror	Fire-Hell	0	21	359	3	3	61	252	merca222	merca241	21000	130	574	32	352	16	99	10	78	8	623	30	20	26	4	100	4	100	4	100	4	100	4	strhirespecial7	10	Inferno	7	60	0	22	13	Fire Ball	7	30	0	20	13																									5	15	2	50000	sor
Eastern Sorceror	Cold-Hell	0	22	359	3	3	61	252	merca222	merca241	27000	140	574	32	352	16	99	10	78	8	623	30	20	26	4	100	4	100	4	100	4	100	4	strhirespecial6	10	Glacial Spike	7	60	0	10	12	Chilling Armor	7	1000	0	18	13	Ice Blast	7	240	0	22	13																			5	15	2	50000	sor
Eastern Sorceror	Ltng-Hell	0	23	359	3	3	61	252	merca222	merca241	21000	130	574	32	352	16	99	10	78	8	623	30	20	27	4	100	4	100	4	100	4	100	4	strhirespecial5	10	Charged Bolt	7	60	0	13	12	Lightning	7	30	0	19	13																									5	15	2	50000	sor
Eastern Sorceror	Fire-Normal	100	15	359	3	1	15	252	merca222	merca241	1000	110	160	20	95	9	49	10	40	8	15	12	1	7	4	35	8	35	8	35	8	35	8	strhirespecial7	10	Fire Bolt	7	30	0	9	13	Fire Ball	7	60	0	7	13	Enchant	7	30	0	4	13																			1	15	2	50000	sor
Eastern Sorceror	Fire-Normal	100	15	359	3	1	49	252	merca222	merca241	10000	120	534	36	419	16	92	10	74	8	423	24	18	24	4	103	7	103	7	103	7	103	7	strhirespecial7	10	Fire Bolt	7	30	0	20	13	Fire Ball	7	60	0	18	13	Enchant	7	30	0	15	19																			1	15	2	50000	sor
