Name	Source	ChineseName	ChineseEffect	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of Slaying		斬殺之	最大伤害5-7	0	1	1	11	40	8					13	dmg-max		5	7									lred	weap												0	0
of Gore		傷戮之	最大伤害8-10	0	1	1	14		10					13	dmg-max		8	10									lred	weap												0	0
of Carnage		屠殺之	最大伤害11-14	0	1	1	19		14					13	dmg-max		11	14									lred	weap							wand	staf				0	0
of Slaughter		宰殺之	最大伤害15-20	0	1	1	25		18					13	dmg-max		15	20									lred	weap							wand	staf				0	0
of Maiming		殘害之	最大伤害3-4	0	1	1	42		31					13	dmg-max		3	4									lred	shld	ring	amul										0	0
of Worth		價值之	最小伤害1-2	0	1	1	2	10	1					14	dmg-min		1	1									lred	weap							rod					0	0
of Measure		衡量之	最小伤害3-4	0	1	1	6	25	4					14	dmg-min		2	2									lred	weap												0	0
of Excellence		卓越之	最小伤害5-8	0	1	1	12	40	9					14	dmg-min		3	3									lred	weap	ring	amul										0	0
of Performance		性能之	最小伤害9-14	0	1	1	18		13					14	dmg-min		4	5									lred	weap												0	0
of Measure		衡量之	最小伤害3-4	0	1	1	37		27					14	dmg-min		2	2									lred	tors	helm	ring	amul									0	0
of Blight		荒疫之	毒素伤害7，持续3秒	0	1	1	5		3					15	pois-min		8	8	pois-max		24	24	pois-len		75	75	lred	weap							scep					0	0
of Venom		劇毒之	毒素伤害21，持续4秒	0	1	1	15		11					15	pois-min		16	16	pois-max		48	48	pois-len		75	75	lred	weap							scep					0	0
of Pestilence		疫癘之	毒素伤害50，持续5秒	0	1	1	25		18					15	pois-min		32	32	pois-max		72	72	pois-len		100	100	lred	weap							scep					0	0
of Blight		荒疫之	毒素伤害7，持续3秒	0	1	1	45		33					15	pois-min		8	8	pois-max		24	24	pois-len		75	75	lred	ring	amul											0	0
of Dexterity		敏捷之	敏捷1-2	0	1	1	4		3					16	dex		1	1									lred	ring	amul											0	0
of Dexterity		敏捷之	敏捷1-2	0	1	1	5		3					16	dex		1	3									lred	scep	miss	boot	glov	ring	amul							0	0
of Skill		技術之	敏捷3-5	0	1	1	10		7					16	dex		4	6									lred	scep	miss	boot	glov	ring	amul							0	0
of Skill		技術之	敏捷3-5	0	1	1	45		33					16	dex		4	6									lred	armo							boot	glov				0	0
of Accuracy		準確之	敏捷6-9	0	1	1	18		13					16	dex		7	10									lred	scep	miss	boot	glov	ring	amul							0	0
of Precision		精密之	敏捷10-15	0	1	1	22		16					16	dex		11	15									lred	scep	miss	amul										0	0
of Precision		精密之	敏捷10-15	0	1	1	60		45					16	dex		11	15									lred	armo	ring											0	0
of Perfection		完美之	敏捷16-20	0	1	1	30		22					16	dex		16	20									lred	miss	glov	amul										0	0
of Balance		平衡之	快速打击恢复10%	0	1	1	5		3					17	balance1		10	10									lred	armo							glov					0	0
of Stability		穩定之	快速打击恢复24%	0	1	1	9		6					17	balance3		20	20									lred	armo							glov					0	0
of Regeneration		恢復之	生命恢复3-5	0	1	1	10		7					19	regen		3	3									lred	scep	belt	ring	amul									0	0
of Regeneration		恢復之	生命恢复3-5	0	1	1	40		30					19	regen		3	3									lred	shld	glov											0	0
of Regeneration		恢復之	生命恢复3-5	0	1	1	70		52					19	regen		3	3									lred	tors	helm	weap	boot				scep					0	0
of Regrowth		癒合之	生命恢复6-10	0	1	1	17		12					19	regen		5	5									lred	scep	amul											0	0
of Regrowth		癒合之	生命恢复6-10	0	1	1	55		41					19	regen		5	5									lred	belt	ring											0	0
of Vileness		穢毒之	防止怪物自疗	0	1	1	9		6					20	noheal		1	1									lred	mele							scep					0	0
of Greed		貪婪之	额外金币25%-40%	0	1	1	2		1					22	gold%		40	60									lred	ring	amul											0	0
of Wealth		財富之	额外金币41%-80%	0	1	1	17		12					22	gold%		80	120									lred	boot	glov	belt	amul									0	0
of Chance		機會之	寻宝5%-15%	0	1	1	12		9					23	mag%		10	19									lred	ring	amul											0	0
of Fortune		機運之	寻宝16%-25%	0	1	1	16		12					23	mag%		20	35									lred	boot	glov	amul										0	0
of Energy		能量之	精力1-3	0	1	1	4		3					24	mana		1	1									lred	ring	amul											0	0
of Energy		能量之	精力1-3	0	1	1	5		3					24	mana		1	5									lred	rod	ring	amul										0	0
of the Mind		心神之	精力4-6	0	1	1	10		7					24	mana		6	10									lred	rod	ring	amul										0	0
of Brilliance		才華之	精力7-10	0	1	1	18		13					24	mana		11	15									lred	rod	ring	amul										0	0
of Sorcery		幻法之	精力11-15	0	1	1	22		16					24	mana		16	20									lred	rod	amul											0	0
of Wizardry		巫術之	精力16-20	0	1	1	30		22					24	mana		21	30									lred	rod	ring	amul										0	0
of the Bear		巨熊之	击退	0	1	1	8		6				0	25	knock		1	1									lred	mele												0	0
of Light		光明之	照明1、命中15	0	1	1	6		4					26	light		1	1									lred	rod	ring	amul										0	0
of Radiance		光輝之	照明3、命中30	0	1	1	15		11					26	light		3	3									lred	rod	ring	amul										0	0
of the Sun		日光之	照明5、命中5%	0	1	1	17		12					26	light		5	5									lred	rod	ring	amul										0	0
of Life		生命之	物理伤害减少4	0	1	1	23		17					27	hp		5	5									lred	tors	helm	shld	belt	amul								0	0
of the Jackal		豺狼之	生命1-5	0	1	1	3		2					27	hp		1	5									lred	armo	rod	ring	amul									0	0
of the Fox		狐狸之	生命6-10	0	1	1	6		4					27	hp		5	10									lred	armo	rod	ring	amul									0	0
of the Wolf		野狼之	生命11-20	0	1	1	14		10					27	hp		11	20									lred	armo	rod	ring	amul									0	0
of the Wolf		野狼之	生命11-20	0	1	1	45		33					27	hp		11	20									lred	weap							rod					0	0
of the Tiger		老虎之	生命21-30	0	1	1	20		15					27	hp		21	30									lred	armo	ring	amul										0	0
of the Mammoth		猛瑪之	生命31-40	0	1	1	24		18					27	hp		31	40									lred	tors	helm	shld	ring	amul								0	0
of the Mammoth		猛瑪之	生命31-40	0	1	1	60		45					27	hp		31	40									lred	mele	glov	belt					rod					0	0
of the Colosuss		巨像之	生命41-60	0	1	1	30		22					27	hp		41	60									lred	tors	helm	shld	belt	amul								0	0
of the Leech		血蛭之	吸取生命4%-5%	0	1	1	6		4					28	lifesteal		4	7									lred	weap	ring	amul										0	0
of the Locust		蝗蟲之	吸取生命6%-7%	0	1	1	20		15					28	lifesteal		8	10									lred	mele												0	0
of the Bat		蝙蝠之	吸取法力4%-5%	0	1	1	6		4					29	manasteal		4	8									lred	weap	ring	amul										0	0
of the Vampire		吸血鬼之	吸取法力8%-9%	0	1	1	20		15					29	manasteal		9	12									lred	mele												0	0
of Defiance		抗毒之	中毒时间减少75%	0	1	1	25		18					30	res-pois-len		75	75									lred	tors	helm	shld	amul									0	0
of Amelioration		緩解之	中毒时间减少50%	0	1	1	18		13					30	res-pois-len		50	50									lred	tors	helm	shld	amul									0	0
of Remedy		醫治之	中毒时间减少25%	0	1	1	7		5					30	res-pois-len		25	25									lred	armo	ring	amul										0	0
of Simplicity		簡易之	需求降低30%	0	1	1	25		18					32	ease		-40	-40									lred	tors	helm	weap	shld				rod					0	0
of Ease		舒適之	需求降低20%	0	1	1	15		11					32	ease		-20	-20									lred	tors	helm	weap	shld				rod					0	0
of Strength		力量之	力量1-2	0	1	1	5		3					34	str		1	3									lred	belt	ring	amul										0	0
of Might		武力之	力量3-5	0	1	1	10		7					34	str		4	6									lred	mele	shld	ring	amul				wand	staf				0	0
of the Ox		公牛之	力量6-9	0	1	1	18		13					34	str		7	10									lred	mele	belt	ring	amul				wand	staf				0	0
of the Ox		公牛之	力量6-9	0	1	1	47		35					34	str		7	10									lred	shld	boot	glov										0	0
of the Giant		巨人之	力量10-15	0	1	1	22		16					34	str		11	15									lred	mele	belt	amul					wand	staf				0	0
of the Giant		巨人之	力量10-15	0	1	1	62		46					34	str		11	15									lred	boot	glov	ring	shld									0	0
of the Titan		泰坦之	力量16-20	0	1	1	30		22					34	str		16	20									lred	boot	belt	amul										0	0
of Pacing		步伐之	移动速度10%	0	1	1	2		1					35	move1		10	10									lred	boot												0	0
of Haste		疾行之	移动速度20%	0	1	1	12		9					35	move2		20	20									lred	boot												0	0
of Speed		速度之	移动速度30%	0	1	1	22		16					35	move3		30	30									lred	boot												0	0
Expansion		資料片																																							
of Health		強健之	物理伤害减少1	1	1	1	7		5				4	1	red-dmg		1	1									lred	tors	shld	ring	amul	circ								0	0
of Protection		保護之	物理伤害减少2	1	1	1	18		13				4	1	red-dmg		2	2									lred	ring	amul	circ										0	0
of Absorption		緩衝之	物理伤害减少3	1	1	1	26		19				4	1	red-dmg		3	3									lred	amul	circ											0	0
of Life		生命之	物理伤害减少4	1	1	1	35		26				4	1	red-dmg		4	4									lred	amul	circ											0	0
of Life Everlasting		永生之	物理伤害减少10-25	100	1		45		37				4	1	red-dmg		10	25									lred	amul	circ											0	0
of Protection		保護之	物理伤害减少2	1	1	1	24		18				4	1	red-dmg		2	2									lred	tors	shld	circ										0	0
of Absorption		緩衝之	物理伤害减少3	1	1	1	32		24				4	1	red-dmg		3	3									lred	tors	shld	circ										0	0
of Life		生命之	物理伤害减少4	1	1	1	41		33				4	1	red-dmg		4	7									lred	tors	shld	circ										0	0
of Anima		和睦之	物理伤害减少8-15	100	1		51		43				4	1	red-dmg		8	15									lred	tors	shld	circ										0	0
of Warding		結界之	法术伤害减少1	1	1	1	7		5				4	2	red-mag		1	1									lred	tors	shld	ring	amul	orb	circ							0	0
of the Sentinel		戒衛之	法术伤害减少2	1	1	1	18		12				4	2	red-mag		2	2									lred	ring	amul	orb	circ									0	0
of Guarding		護法之	法术伤害减少3	1	1	1	26		19				4	2	red-mag		3	3									lred	amul	orb	circ										0	0
of Negation		消魔之	法术伤害减少4-6	100	1		42		35				4	2	red-mag		4	6									lred	amul	orb	circ										0	0
of the Sentinel		戒衛之	法术伤害减少2	1	1	1	24		18				4	2	red-mag		2	2									lred	tors	shld	circ										0	0
of Guarding		護法之	法术伤害减少3	1	1	1	32		24				4	2	red-mag		3	3									lred	tors	shld	circ										0	0
of Negation		消魔之	法术伤害减少4-6	100	1		41		33				4	2	red-mag		4	6									lred	tors	shld	circ										0	0
of Coolness		降溫之	0	100		1	11		8				1	3	abs-fire		2	2									lred	tors	shld	boot	circ									0	0
of Incombustibility		易燃之	0	100		1	19		14				1	3	abs-fire		3	3									lred	tors	shld	boot	circ									0	0
of Amianthus		石絨之	0	100		1	28		21				1	3	abs-fire		4	5									lred	tors	shld	boot	circ									0	0
of Fire Quenching		猝滅之	0	100			38		30				1	3	abs-fire		6	8									lred	tors	shld	boot	circ									0	0
of Coolness		降溫之	0	100		1	13		9				1	3	abs-fire		2	2									lred	ring	amul	orb	circ									0	0
of Incombustibility		易燃之	0	100		1	22		16				1	3	abs-fire		3	3									lred	amul	orb	circ										0	0
of Amianthus		石絨之	0	100		1	33		25				1	3	abs-fire		4	5									lred	amul	orb	circ										0	0
of Fire Quenching		猝滅之	0	100			46		38				1	3	abs-fire		6	8									lred	amul	orb	circ										0	0
of Faith		信仰之	0	100		1	23		17				1	3	abs-fire		1	2									lred	jewl												0	0
of Resistance		阻抗之	0	100		1	11		8				1	3	abs-ltng		2	2									lred	tors	shld	boot	circ									0	0
of Insulation		絕緣之	0	100		1	19		14				1	3	abs-ltng		3	3									lred	tors	shld	boot	circ									0	0
of Grounding		接地之	0	100		1	28		21				1	3	abs-ltng		4	5									lred	tors	shld	boot	circ									0	0
of the Dynamo		爆發之	0	100			38		30				1	3	abs-ltng		6	8									lred	tors	shld	boot	circ									0	0
of Resistance		阻抗之	0	100		1	13		9				1	3	abs-ltng		2	2									lred	ring	amul	orb	circ									0	0
of Insulation		絕緣之	0	100		1	22		16				1	3	abs-ltng		3	3									lred	amul	orb	circ										0	0
of Grounding		接地之	0	100		1	33		25				1	3	abs-ltng		4	5									lred	amul	orb	circ										0	0
of the Dynamo		爆發之	0	100			46		38				1	3	abs-ltng		6	8									lred	amul	orb	circ										0	0
of Stoicism		堅忍之	0	100		1	22		16				1	3	abs-ltng		1	2									lred	jewl												0	0
of Warming		溫暖之	0	100		1	11		8				1	3	abs-cold		2	2									lred	tors	shld	boot	circ									0	0
of Thawing		融冰之	0	100		1	19		14				1	3	abs-cold		3	3									lred	tors	shld	boot	circ									0	0
of the Dunes		沙丘之	0	100		1	28		21				1	3	abs-cold		4	5									lred	tors	shld	boot	circ									0	0
of the Sirocco		熱風之	0	100			38		30				1	3	abs-cold		6	8									lred	tors	shld	boot	circ									0	0
of Warming		溫暖之	0	100		1	13		9				1	3	abs-cold		2	2									lred	ring	amul	orb	circ									0	0
of Thawing		融冰之	0	100		1	22		16				1	3	abs-cold		3	3									lred	amul	orb	circ										0	0
of the Dunes		沙丘之	0	100		1	33		25				1	3	abs-cold		4	5									lred	amul	orb	circ										0	0
of the Sirocco		熱風之	0	100			46		38				1	3	abs-cold		6	8									lred	amul	orb	circ										0	0
of Desire		慾望之	0	100		1	23		17				1	3	abs-cold		1	2									lred	jewl												0	0
of Piercing		穿透之	无视防御	1	1	1	25		18				2	4	ignore-ac		1	1									lred	rod	knif	h2h										0	0
of Bashing		猛擊之	0	100		1	16		12				4	5	dmg-ac		-25	-40									lred	blun							wand	staf	orb			0	0
of Puncturing		擊穿之	0	100		1	6		4				4	5	dmg-ac		-10	-20									lred	spea	knif	h2h										0	0
of Thorns		棘刺之	反弹伤害1-3	1	1	1	14		10				4	6	thorns		1	3									lred	circ												0	0
of Spikes		銳刺之	反弹伤害4-6	1	1	1	21		15				4	6	thorns		4	6									lred	circ												0	0
of Razors		刃刺之	反弹伤害7-9	100	1	1	34		26				4	6	thorns		7	9									lred	circ												0	0
of Swords		劍刺之	反弹伤害10-20	100	1		47		39				4	6	thorns		10	20									lred	circ												0	0
of Malice		惡謀之	反弹伤害1-5	100	1	1	37		29				4	6	thorns		1	5									lred	jewl												0	0
of Readiness		迅速之	攻击速度10%	1	1	1	5	20	3				6	7	swing1		10	10									lred	weap							wand	orb				0	0
of Alacrity		輕快之	攻击速度20%	1	1	1	25		17				6	7	swing2		20	20									lred	weap							wand	orb				0	0
of Swiftness		迅捷之	攻击速度30%	1	1	1	34		26				6	7	swing2		30	30									lred	mele							wand	staf	orb			0	0
of Quickness		快速之	攻击速度40%	1	1	1	46		38				5	7	swing3		40	40									lred	mele							wand	staf	orb			0	0
of Alacrity		輕快之	攻击速度20%	100	1	1	43		35				4	7	swing2		20	20									lred	glov	helm											0	0
of Fervor		白熱之	攻击速度15%	100	1		39		31				4	7	swing1		15	15									lred	jewl												0	0
of Blocking		格擋之	格挡几率10%，快速格挡15%	1	1	1	1		1				7	8	block		10	10	block2		15	15					lred	shld												0	0
of Deflecting		偏折之	格挡几率20%，快速格挡30%	1	1	1	11		8				6	8	block		20	20	block2		30	30					lred	shld												0	0
of the Apprentice		學徒之	施法速度10%	1	1	1	5		3				6	9	cast1		10	10									lred	rod	ring	amul	orb	circ	tors	shld						0	0
of the Magus		魔導師之	施法速度20%	1	1	1	29		21				5	9	cast3		20	20									lred	rod	orb	circ	tors	shld								0	0
of Frost		冰霜之	冰冷伤害1，持续1秒	1	1	1	4	10	3				5	10	cold-min		1	1	cold-max		1	2	cold-len		50	50	lred	weap							wand	orb				0	0
of the Icicle		冰刺之	冰冷伤害1到3-4，持续3秒	100	1	1	13	25	9				4	10	cold-min		1	1	cold-max		3	4	cold-len		75	75	lred	weap							wand	orb				0	0
of the Glacier		冰河之	冰冷伤害2-4到4-15，持续4秒	1	1	1	27	40	20				3	10	cold-min		2	4	cold-max		4	15	cold-len		100	100	lred	weap							wand	orb				0	0
of Winter		嚴冬之	冰冷伤害5-9到16-50，持续6秒	100	1	1	45		37				2	10	cold-min		5	9	cold-max		16	50	cold-len		150	150	lred	mele	miss						wand	orb				0	0
of Frost		冰霜之	冰冷伤害1，持续1秒	1	1	1	55		41				2	10	cold-min		1	1	cold-max		3	6	cold-len		50	50	lred	belt	amul											0	0
of Frigidity		嚴寒之	冰冷伤害1到3-5，持续1秒	100	1	1	16		12				2	10	cold-min		1	1	cold-max		3	5	cold-len		50	50	lred	jewl												0	0
of Warmth		融冰之	冰冻时间减半	1	1	1	10		7				4	11	half-freeze		1	1									lred	shld	boot	glov	ring	amul	circ	orb						0	0
of Flame		火炎之	火焰伤害1到2-5	1	1	1	4	10	3				5	12	fire-min		1	1	fire-max		2	5					lred	weap							wand	orb				0	0
of Fire		火焰之	火焰伤害1-4到6-11	1	1	1	15	25	11				4	12	fire-min		1	4	fire-max		6	11					lred	weap							wand	orb				0	0
of Burning		燃燒之	火焰伤害5-9到10-20	1	1	1	25	40	18				3	12	fire-min		5	9	fire-max		10	20					lred	weap							wand	orb				0	0
of Incineration		焚絕之	火焰伤害10-20到21-75	100	1	1	43		35				2	12	fire-min		10	20	fire-max		21	75					lred	mele	miss						wand	orb				0	0
of Flame		火炎之	火焰伤害1到2-5	100	1	1	40		30				2	12	fire-min		1	1	fire-max		2	6					lred	glov	ring	amul										0	0
of Passion		熱情之	火焰伤害1-3到6-10	100	1	1	15		11				2	12	fire-min		1	3	fire-max		6	10					lred	jewl												0	0
of Shock		觸電之	闪电伤害1到6-8	1	1	1	4	10	3				5	13	ltng-min		1	1	ltng-max		6	8					lred	weap							wand	orb				0	0
of Lightning		閃電之	闪电伤害1到9-16	1	1	1	15	25	11				4	13	ltng-min		1	1	ltng-max		9	16					lred	weap							wand	orb				0	0
of Thunder		雷電之	闪电伤害1到17-40	1	1	1	25	40	18				3	13	ltng-min		1	1	ltng-max		17	40					lred	weap							wand	orb				0	0
of Storms		風暴之	闪电伤害1到41-120	100	1	1	34		26				2	13	ltng-min		1	6	ltng-max		41	120					lred	mele	miss						wand	orb				0	0
of Shock		觸電之	闪电伤害1到6-8	100	1	1	50		37				2	13	ltng-min		1	1	ltng-max		11	23					lred	boot	ring	amul										0	0
of Ennui		倦怠之	闪电伤害1到10-20	100	1	1	15		11				2	13	ltng-min		1	1	ltng-max		10	20					lred	jewl												0	0
of Craftsmanship		工匠之	最大伤害1	1	1	1	1	10	1				8	14	dmg-max		1	1									lred	weap	ring	amul					wand	staf	orb			0	0
of Quality		優良之	最大伤害2	1	1	1	4	20	3				8	14	dmg-max		2	2									lred	weap							wand	staf	orb			0	0
of Maiming		殘害之	最大伤害3-4	1	1	1	7	30	5				7	14	dmg-max		3	4									lred	weap							wand	staf	orb			0	0
of Slaying		斬殺之	最大伤害5-7	1	1	1	11	40	8				7	14	dmg-max		5	7									lred	weap							wand	staf	orb			0	0
of Gore		傷戮之	最大伤害8-10	1	1	1	14		10				6	14	dmg-max		8	10									lred	weap							wand	staf	orb			0	0
of Carnage		屠殺之	最大伤害11-14	1	1	1	19		14				6	14	dmg-max		11	14									lred	weap							wand	staf	orb			0	0
of Slaughter		宰殺之	最大伤害15-20	1	1	1	25		18				5	14	dmg-max		15	20									lred	weap							wand	staf	orb			0	0
of Butchery		屠虐之	最大伤害21-40	100	1		35		27				5	14	dmg-max		21	40									lred	weap							wand	staf	orb			0	0
of Evisceration		開膛之	最大伤害41-63	100	1		45		37				4	14	dmg-max		41	63									lred	weap							wand	staf	orb			0	0
of Maiming		殘害之	最大伤害3-4	1	1	1	42		34				4	14	dmg-max		3	4									lred	shld	ring	amul										0	0
of Craftsmanship		工匠之	最大伤害1	100	1	1	1	7	1				4	14	dmg-max		1	2									lred	circ												0	0
of Craftsmanship		工匠之	最大伤害1	100	1	1	8	14	6				4	14	dmg-max		2	3									lred	circ												0	0
of Craftsmanship		工匠之	最大伤害1	100	1	1	15		11				4	14	dmg-max		4	5									lred	circ												0	0
of Quality		優良之	最大伤害2	100	1	1	23	29	17				4	14	dmg-max		6	7									lred	circ												0	0
of Quality		優良之	最大伤害2	100	1	1	30		22				4	14	dmg-max		7	8									lred	circ												0	0
of Maiming		殘害之	最大伤害3-4	100	1		37	44	29				4	14	dmg-max		9	10									lred	circ												0	0
of Maiming		殘害之	最大伤害3-4	100	1		45		37				4	14	dmg-max		11	12									lred	circ												0	0
of Craftsmanship		工匠之	最大伤害1	100	0	1	8	17	6				4	14	dmg-max		1	1									lred	mcha												0	0
of Craftsmanship		工匠之	最大伤害1	100	0	1	18		13				4	14	dmg-max		2	2									lred	mcha												0	0
of Quality		優良之	最大伤害2	100	0	1	28	37	21				4	14	dmg-max		3	4									lred	mcha												0	0
of Quality		優良之	最大伤害2	100	0	1	38		30				4	14	dmg-max		5	6									lred	mcha												0	0
of Maiming		殘害之	最大伤害3-4	100	0		48		40				4	14	dmg-max		7	8									lred	mcha												0	0
of Craftsmanship		工匠之	最大伤害1	100	0	1	21		15				4	14	dmg-max		1	1									lred	scha												0	0
of Quality		優良之	最大伤害2	100	0	1	36		28				4	14	dmg-max		2	2									lred	scha												0	0
of Maiming		殘害之	最大伤害3-4	100	0		51		43				4	14	dmg-max		3	4									lred	scha												0	0
of Ire		盛怒之	最大伤害2-5	100	1	1	4		3				4	14	dmg-max		2	5									lred	jewl												0	0
of Wrath		怒氣之	最大伤害6-9	100	1	1	11		8				4	14	dmg-max		6	9									lred	jewl												0	0
of Carnage		屠殺之	最大伤害11-14	100	1		25		18				4	14	dmg-max		11	15									lred	jewl													
of Worth		價值之	最小伤害1-2	1	1	1	1	10	1				8	15	dmg-min		1	2									lred	weap							staf	wand	orb			0	0
of Measure		衡量之	最小伤害3-4	1	1	1	12	25	9				7	15	dmg-min		3	4									lred	weap							staf	wand	orb			0	0
of Excellence		卓越之	最小伤害5-8	1	1	1	24	40	18				6	15	dmg-min		5	8									lred	weap							staf	wand	orb			0	0
of Performance		性能之	最小伤害9-14	1	1	1	48		40				5	15	dmg-min		9	14									lred	weap							staf	wand	orb			0	0
of Transcendence		超凡之	最小伤害15-20	100	1	1	76		68				4	15	dmg-min		15	20									lred	weap							staf	wand	orb			0	0
of Worth		價值之	最小伤害1-2	1	1	1	15		11				4	15	dmg-min		2	3									lred	ring	amul	circ										0	0
of Measure		衡量之	最小伤害3-4	1	1	1	37		29				4	15	dmg-min		4	5									lred	ring	amul	circ										0	0
of Excellence		卓越之	最小伤害5-8	1	1	1	59		51				4	15	dmg-min		6	9									lred	ring	amul	circ										0	0
of Performance		性能之	最小伤害9-14	100	1		81		73				4	15	dmg-min		10	13									lred	ring	amul	circ										0	0
of Joyfulness		歡愉之	最小伤害1-4	100	1	1	5		3				4	15	dmg-min		1	4									lred	jewl												0	0
of Bliss		喜樂之	最小伤害5-10	100	1	1	43		37				4	15	dmg-min		5	10									lred	jewl												0	0
of Blight		荒疫之	毒素伤害7，持续3秒	1	1	1	5		3				5	16	dmg-pois	75	24	24									lred	weap	circ						rod	orb				0	0
of Venom		劇毒之	毒素伤害21，持续4秒	1	1	1	15		11				4	16	dmg-pois	100	54	54									lred	weap	circ						rod	orb				0	0
